partner_id,company_id,partner_name,partner_type,service_city_region,joined_at
gocepat_cust_0069,gocepat,UD Karya Bangsa 69,Menengah,Sumatera,2024-01-15
gocepat_cust_0070,gocepat,CV Tekno Rimba 70,Korporasi,Jawa,2024-02-28
gocepat_cust_0071,gocepat,CV Fashion Lokal 71,UMKM,Jabodetabek,2024-09-03
gocepat_cust_0072,gocepat,UD Anugerah Prima 72,UMKM,Jawa,2024-01-18
gocepat_cust_0073,gocepat,UD Karya Bangsa 73,Menengah,Sumatera,2024-05-06
gocepat_cust_0074,gocepat,Toko Anugerah Prima 74,Korporasi,Indonesia Timur,2024-07-26
gocepat_cust_0075,gocepat,Toko Elektronik Ceria 75,Korporasi,Indonesia Timur,2024-03-09
gocepat_cust_0076,gocepat,PT Berkah Mandiri 76,Menengah,Jabodetabek,2024-11-18
gocepat_cust_0077,gocepat,CV Sinar Abadi 77,Korporasi,Sumatera,2024-04-19
gocepat_cust_0078,gocepat,Toko Gunung Mas 78,Korporasi,Jabodetabek,2024-04-01
gocepat_cust_0079,gocepat,CV Nusantara Digital 79,Menengah,Jabodetabek,2024-08-19
gocepat_cust_0080,gocepat,Warung Indah Makmur 80,UMKM,Indonesia Timur,2024-04-22
gocepat_cust_0081,gocepat,Warung Citra Sejahtera 81,UMKM,Indonesia Timur,2024-01-10
gocepat_cust_0082,gocepat,PT Anugerah Prima 82,Korporasi,Jabodetabek,2024-01-06
gocepat_cust_0083,gocepat,PT Batik Cantik 83,Korporasi,Indonesia Timur,2024-09-24
gocepat_cust_0084,gocepat,UD Rasa Nusantara 84,UMKM,Jabodetabek,2024-04-08
gocepat_cust_0085,gocepat,UD Pangan Sehat 85,Menengah,Jawa,2024-11-08
gocepat_cust_0086,gocepat,PT Anugerah Prima 86,Menengah,Sumatera,2024-08-15
gocepat_cust_0087,gocepat,UD Elektronik Ceria 87,Korporasi,Jawa,2024-03-06
gocepat_cust_0088,gocepat,PT Sinar Abadi 88,Korporasi,Jabodetabek,2024-05-19
gocepat_cust_0089,gocepat,PT Maju Jaya 89,Korporasi,Sumatera,2024-10-20
gocepat_cust_0090,gocepat,PT Elektronik Ceria 90,Menengah,Indonesia Timur,2024-04-09
gocepat_cust_0091,gocepat,Toko Laut Biru 91,Menengah,Jabodetabek,2024-03-11
gocepat_cust_0092,gocepat,Toko Indah Makmur 92,Korporasi,Sumatera,2024-10-23
gocepat_cust_0093,gocepat,Warung Laut Biru 93,Menengah,Jabodetabek,2024-11-10
gocepat_cust_0094,gocepat,Warung Pangan Sehat 94,UMKM,Jawa,2024-10-15
gocepat_cust_0095,gocepat,PT Tekno Rimba 95,Korporasi,Jawa,2024-03-22
gocepat_cust_0096,gocepat,UD Rasa Nusantara 96,Menengah,Indonesia Timur,2024-04-27
gocepat_cust_0097,gocepat,PT Mitra Dagang 97,Menengah,Jawa,2024-10-22
gocepat_cust_0098,gocepat,CV Citra Sejahtera 98,UMKM,Jawa,2024-11-14
gocepat_cust_0099,gocepat,PT Tekno Rimba 99,Menengah,Jawa,2024-09-01
gocepat_cust_0100,gocepat,Warung Elektronik Ceria 100,Menengah,Jawa,2024-03-14
gocepat_cust_0101,gocepat,CV Pangan Sehat 101,Korporasi,Indonesia Timur,2024-09-07
gocepat_cust_0102,gocepat,CV Rasa Nusantara 102,Menengah,Jabodetabek,2024-04-20
gocepat_cust_0103,gocepat,CV Rumah Nyaman 103,Korporasi,Indonesia Timur,2024-05-10
gocepat_cust_0104,gocepat,Warung Karya Bangsa 104,Menengah,Indonesia Timur,2024-06-18
gocepat_cust_0105,gocepat,Toko Citra Sejahtera 105,Menengah,Sumatera,2024-09-16
gocepat_cust_0106,gocepat,Warung Pangan Sehat 106,UMKM,Indonesia Timur,2024-01-22
gocepat_cust_0107,gocepat,PT Karya Bangsa 107,UMKM,Sumatera,2024-07-14
gocepat_cust_0108,gocepat,CV Sumber Rejeki 108,Korporasi,Jawa,2024-03-13
gocepat_cust_0109,gocepat,CV Sumber Rejeki 109,UMKM,Sumatera,2024-05-10
gocepat_cust_0110,gocepat,Toko Fashion Lokal 110,Korporasi,Indonesia Timur,2024-05-13
gocepat_cust_0111,gocepat,PT Batik Cantik 111,UMKM,Sumatera,2024-11-20
gocepat_cust_0112,gocepat,UD Sumber Rejeki 112,Menengah,Jawa,2024-03-09
gocepat_cust_0113,gocepat,CV Rasa Nusantara 113,UMKM,Jabodetabek,2024-10-13
gocepat_cust_0114,gocepat,PT Rasa Nusantara 114,Menengah,Jabodetabek,2024-02-28
gocepat_cust_0115,gocepat,CV Fashion Lokal 115,UMKM,Jabodetabek,2024-09-08
gocepat_cust_0116,gocepat,Warung Sinar Abadi 116,Menengah,Jabodetabek,2024-03-25
gocepat_cust_0117,gocepat,UD Berkah Mandiri 117,Korporasi,Sumatera,2024-02-14
gocepat_cust_0118,gocepat,PT Fashion Lokal 118,Korporasi,Indonesia Timur,2024-10-15
gocepat_cust_0119,gocepat,UD Maju Jaya 119,UMKM,Sumatera,2024-10-22
gocepat_cust_0120,gocepat,CV Fashion Lokal 120,Menengah,Sumatera,2024-11-01
gocepat_cust_0121,gocepat,Warung Batik Cantik 121,Korporasi,Jawa,2024-04-14
gocepat_cust_0122,gocepat,Toko Sumber Rejeki 122,UMKM,Jabodetabek,2024-09-26
gocepat_cust_0123,gocepat,UD Indah Makmur 123,Korporasi,Sumatera,2024-02-08
gocepat_cust_0124,gocepat,Warung Gunung Mas 124,Korporasi,Sumatera,2024-12-18
gocepat_cust_0125,gocepat,UD Karya Bangsa 125,Korporasi,Indonesia Timur,2024-11-03
gocepat_cust_0126,gocepat,UD Citra Sejahtera 126,Korporasi,Sumatera,2024-08-28
gocepat_cust_0127,gocepat,CV Pangan Sehat 127,Menengah,Jawa,2024-12-22
gocepat_cust_0128,gocepat,CV Laut Biru 128,Korporasi,Jabodetabek,2024-10-27
gocepat_cust_0129,gocepat,UD Nusantara Digital 129,Menengah,Jabodetabek,2024-08-24
gocepat_cust_0130,gocepat,PT Bumi Lestari 130,UMKM,Jawa,2024-04-08
gocepat_cust_0131,gocepat,Toko Rumah Nyaman 131,UMKM,Indonesia Timur,2024-06-22
gocepat_cust_0132,gocepat,CV Rumah Nyaman 132,Menengah,Jabodetabek,2024-10-21
gocepat_cust_0133,gocepat,UD Fashion Lokal 133,UMKM,Jabodetabek,2024-03-02
gocepat_cust_0134,gocepat,UD Karya Bangsa 134,Korporasi,Sumatera,2024-08-24
gocepat_cust_0135,gocepat,Warung Laut Biru 135,Korporasi,Indonesia Timur,2024-12-18
gocepat_cust_0136,gocepat,PT Sumber Rejeki 136,Korporasi,Sumatera,2024-05-10
gocepat_cust_0137,gocepat,Warung Gunung Mas 137,Korporasi,Sumatera,2024-10-16
gocepat_cust_0138,gocepat,Warung Tekno Rimba 138,Menengah,Jabodetabek,2024-03-09
gocepat_cust_0139,gocepat,PT Sumber Rejeki 139,Korporasi,Jabodetabek,2024-05-11
gocepat_cust_0140,gocepat,CV Anugerah Prima 140,Menengah,Indonesia Timur,2024-10-14
gocepat_cust_0141,gocepat,CV Indah Makmur 141,Korporasi,Sumatera,2024-10-04
gocepat_cust_0142,gocepat,UD Tekno Rimba 142,Menengah,Sumatera,2024-04-03
gocepat_cust_0143,gocepat,PT Tekno Rimba 143,UMKM,Indonesia Timur,2024-10-24
gocepat_cust_0144,gocepat,Warung Rasa Nusantara 144,UMKM,Indonesia Timur,2024-02-24
gocepat_cust_0145,gocepat,UD Berkah Mandiri 145,UMKM,Jawa,2024-02-21
gocepat_cust_0146,gocepat,PT Anugerah Prima 146,Korporasi,Sumatera,2024-06-11
gocepat_cust_0147,gocepat,CV Pangan Sehat 147,Menengah,Indonesia Timur,2024-03-03
gocepat_cust_0148,gocepat,CV Elektronik Ceria 148,Menengah,Jawa,2024-10-27
gocepat_cust_0149,gocepat,PT Nusantara Digital 149,UMKM,Jabodetabek,2024-05-13
gocepat_cust_0150,gocepat,UD Berkah Mandiri 150,Korporasi,Jawa,2024-01-09
gocepat_cust_0151,gocepat,PT Mitra Dagang 151,Menengah,Indonesia Timur,2024-05-16
gocepat_cust_0152,gocepat,PT Berkah Mandiri 152,Menengah,Jawa,2024-11-09
gocepat_cust_0153,gocepat,PT Laut Biru 153,Menengah,Jawa,2024-07-28
gocepat_cust_0154,gocepat,Toko Fashion Lokal 154,Korporasi,Indonesia Timur,2024-04-15
gocepat_cust_0155,gocepat,Warung Maju Jaya 155,Menengah,Indonesia Timur,2024-03-12
gocepat_cust_0156,gocepat,UD Karya Bangsa 156,Menengah,Indonesia Timur,2024-01-21
gocepat_cust_0157,gocepat,PT Laut Biru 157,UMKM,Sumatera,2024-05-19
gocepat_cust_0158,gocepat,PT Bumi Lestari 158,Menengah,Sumatera,2024-12-05
gocepat_cust_0159,gocepat,Toko Laut Biru 159,UMKM,Indonesia Timur,2024-02-14
gocepat_cust_0160,gocepat,UD Laut Biru 160,Menengah,Jabodetabek,2024-07-18
gocepat_cust_0161,gocepat,CV Nusantara Digital 161,UMKM,Indonesia Timur,2024-11-07
gocepat_cust_0162,gocepat,CV Rasa Nusantara 162,Menengah,Jawa,2024-08-20
gocepat_cust_0163,gocepat,Warung Indah Makmur 163,Korporasi,Indonesia Timur,2024-08-22
gocepat_cust_0164,gocepat,Toko Laut Biru 164,UMKM,Jawa,2024-01-14
gocepat_cust_0165,gocepat,PT Rumah Nyaman 165,Menengah,Jawa,2024-07-02
gocepat_cust_0166,gocepat,UD Indah Makmur 166,UMKM,Indonesia Timur,2024-12-25
gocepat_cust_0167,gocepat,UD Karya Bangsa 167,UMKM,Sumatera,2024-05-24
gocepat_cust_0168,gocepat,UD Laut Biru 168,Menengah,Indonesia Timur,2024-03-03
gocepat_cust_0169,gocepat,PT Mitra Dagang 169,Menengah,Jabodetabek,2024-08-10
gocepat_cust_0170,gocepat,Warung Batik Cantik 170,Korporasi,Jabodetabek,2024-06-05
gocepat_cust_0171,gocepat,Warung Berkah Mandiri 171,Menengah,Jawa,2024-09-01
gocepat_cust_0172,gocepat,Warung Citra Sejahtera 172,Menengah,Sumatera,2024-02-17
gocepat_cust_0173,gocepat,CV Nusantara Digital 173,UMKM,Indonesia Timur,2024-03-10
gocepat_cust_0174,gocepat,UD Fashion Lokal 174,Menengah,Jabodetabek,2024-10-19
gocepat_cust_0175,gocepat,CV Bumi Lestari 175,Korporasi,Jabodetabek,2024-05-12
gocepat_cust_0176,gocepat,Toko Indah Makmur 176,Korporasi,Indonesia Timur,2024-11-26
gocepat_cust_0177,gocepat,CV Sinar Abadi 177,UMKM,Sumatera,2024-01-04
gocepat_cust_0178,gocepat,Warung Batik Cantik 178,Korporasi,Indonesia Timur,2024-02-18
gocepat_cust_0179,gocepat,PT Rumah Nyaman 179,Menengah,Jabodetabek,2024-02-20
gocepat_cust_0180,gocepat,UD Sumber Rejeki 180,Menengah,Sumatera,2024-11-05
gocepat_cust_0181,gocepat,Warung Sumber Rejeki 181,Menengah,Jabodetabek,2024-09-16
gocepat_cust_0182,gocepat,Toko Citra Sejahtera 182,Menengah,Jawa,2024-03-09
gocepat_cust_0183,gocepat,CV Sumber Rejeki 183,UMKM,Sumatera,2024-11-06
gocepat_cust_0184,gocepat,Warung Nusantara Digital 184,UMKM,Jabodetabek,2024-08-04
gocepat_cust_0185,gocepat,PT Gunung Mas 185,UMKM,Jawa,2024-02-14
gocepat_cust_0186,gocepat,PT Maju Jaya 186,Menengah,Sumatera,2024-02-07
gocepat_cust_0187,gocepat,Toko Anugerah Prima 187,Korporasi,Indonesia Timur,2024-09-07
gocepat_cust_0188,gocepat,Warung Maju Jaya 188,Korporasi,Jabodetabek,2024-08-02
gocepat_cust_0189,gocepat,Toko Sinar Abadi 189,Korporasi,Sumatera,2024-11-21
gocepat_cust_0190,gocepat,PT Sinar Abadi 190,Menengah,Jabodetabek,2024-05-28
gocepat_cust_0191,gocepat,Toko Berkah Mandiri 191,UMKM,Jabodetabek,2024-05-26
gocepat_cust_0192,gocepat,UD Bumi Lestari 192,UMKM,Indonesia Timur,2024-09-24
gocepat_cust_0193,gocepat,CV Nusantara Digital 193,Menengah,Jabodetabek,2024-10-17
gocepat_cust_0194,gocepat,UD Rasa Nusantara 194,Korporasi,Sumatera,2024-10-20
gocepat_cust_0195,gocepat,UD Gunung Mas 195,UMKM,Indonesia Timur,2024-09-08
gocepat_cust_0196,gocepat,Toko Rumah Nyaman 196,UMKM,Indonesia Timur,2024-11-05
gocepat_cust_0197,gocepat,PT Laut Biru 197,Korporasi,Indonesia Timur,2024-09-19
gocepat_cust_0198,gocepat,UD Mitra Dagang 198,UMKM,Jawa,2024-05-16
gocepat_cust_0199,gocepat,UD Rumah Nyaman 199,UMKM,Jabodetabek,2024-08-03
gocepat_cust_0200,gocepat,CV Bumi Lestari 200,Korporasi,Sumatera,2024-10-24
gocepat_cust_0201,gocepat,UD Gunung Mas 201,UMKM,Indonesia Timur,2024-09-14
gocepat_cust_0202,gocepat,Toko Sumber Rejeki 202,Menengah,Indonesia Timur,2024-06-14
gocepat_cust_0203,gocepat,PT Fashion Lokal 203,Menengah,Jabodetabek,2024-12-15
gocepat_cust_0204,gocepat,Warung Elektronik Ceria 204,UMKM,Jawa,2024-09-06
gocepat_cust_0205,gocepat,Warung Maju Jaya 205,Menengah,Jabodetabek,2024-10-17
gocepat_cust_0206,gocepat,UD Batik Cantik 206,Korporasi,Indonesia Timur,2024-07-19
gocepat_cust_0207,gocepat,UD Rasa Nusantara 207,Korporasi,Jabodetabek,2024-06-06
gocepat_cust_0208,gocepat,Warung Sumber Rejeki 208,Menengah,Jawa,2024-05-27
gocepat_cust_0209,gocepat,Warung Gunung Mas 209,Korporasi,Jawa,2024-12-18
gocepat_cust_0210,gocepat,Warung Batik Cantik 210,Korporasi,Jawa,2024-09-22
gocepat_cust_0211,gocepat,Warung Berkah Mandiri 211,UMKM,Jawa,2024-04-06
gocepat_cust_0212,gocepat,UD Nusantara Digital 212,Korporasi,Sumatera,2024-01-10
gocepat_cust_0213,gocepat,CV Fashion Lokal 213,Korporasi,Jawa,2024-04-19
gocepat_cust_0214,gocepat,CV Batik Cantik 214,Menengah,Jawa,2024-02-08
gocepat_cust_0215,gocepat,Warung Mitra Dagang 215,Menengah,Indonesia Timur,2024-04-05
gocepat_cust_0216,gocepat,PT Laut Biru 216,UMKM,Jawa,2024-04-15
gocepat_cust_0217,gocepat,Toko Laut Biru 217,Menengah,Jabodetabek,2024-03-17
gocepat_cust_0218,gocepat,Toko Gunung Mas 218,UMKM,Jawa,2024-08-19
gocepat_cust_0219,gocepat,UD Gunung Mas 219,Korporasi,Jawa,2024-04-07
gocepat_cust_0220,gocepat,PT Mitra Dagang 220,UMKM,Jawa,2024-01-18
gocepat_cust_0221,gocepat,Warung Pangan Sehat 221,UMKM,Jawa,2024-11-01
gocepat_cust_0222,gocepat,PT Citra Sejahtera 222,Menengah,Indonesia Timur,2024-10-03
gocepat_cust_0223,gocepat,CV Pangan Sehat 223,UMKM,Indonesia Timur,2024-06-08
gocepat_cust_0224,gocepat,Toko Maju Jaya 224,Menengah,Jabodetabek,2024-07-12
gocepat_cust_0225,gocepat,Toko Bumi Lestari 225,Menengah,Indonesia Timur,2024-04-14
gocepat_cust_0226,gocepat,Toko Pangan Sehat 226,UMKM,Jawa,2024-05-10
gocepat_cust_0227,gocepat,PT Nusantara Digital 227,Korporasi,Sumatera,2024-08-21
gocepat_cust_0228,gocepat,PT Citra Sejahtera 228,UMKM,Sumatera,2024-10-11
gocepat_cust_0229,gocepat,Toko Mitra Dagang 229,Menengah,Jawa,2024-05-20
gocepat_cust_0230,gocepat,Toko Batik Cantik 230,Menengah,Indonesia Timur,2024-11-03
gocepat_cust_0231,gocepat,Toko Tekno Rimba 231,Korporasi,Indonesia Timur,2024-02-11
gocepat_cust_0232,gocepat,CV Berkah Mandiri 232,UMKM,Jawa,2024-04-28
gocepat_cust_0233,gocepat,Toko Mitra Dagang 233,Menengah,Jawa,2024-02-22
gocepat_cust_0234,gocepat,Toko Laut Biru 234,UMKM,Jawa,2024-01-07
gocepat_cust_0235,gocepat,Warung Tekno Rimba 235,UMKM,Indonesia Timur,2024-06-03
gocepat_cust_0236,gocepat,Warung Gunung Mas 236,Korporasi,Sumatera,2024-03-11
gocepat_cust_0237,gocepat,Toko Nusantara Digital 237,UMKM,Sumatera,2024-07-13
gocepat_cust_0238,gocepat,Toko Nusantara Digital 238,Menengah,Jawa,2024-12-16
gocepat_cust_0239,gocepat,CV Laut Biru 239,Menengah,Jabodetabek,2024-10-27
gocepat_cust_0240,gocepat,CV Karya Bangsa 240,Korporasi,Sumatera,2024-05-06
gocepat_cust_0241,gocepat,PT Karya Bangsa 241,Korporasi,Jabodetabek,2024-12-11
gocepat_cust_0242,gocepat,Toko Rumah Nyaman 242,Korporasi,Jabodetabek,2024-04-15
gocepat_cust_0243,gocepat,CV Elektronik Ceria 243,Menengah,Sumatera,2024-10-28
gocepat_cust_0244,gocepat,CV Maju Jaya 244,Korporasi,Jabodetabek,2024-12-12
gocepat_cust_0245,gocepat,Toko Karya Bangsa 245,Menengah,Indonesia Timur,2024-04-03
gocepat_cust_0246,gocepat,PT Elektronik Ceria 246,Menengah,Sumatera,2024-09-18
gocepat_cust_0247,gocepat,UD Elektronik Ceria 247,Korporasi,Jabodetabek,2024-11-17
gocepat_cust_0248,gocepat,UD Karya Bangsa 248,Korporasi,Jawa,2024-03-13
gocepat_cust_0249,gocepat,PT Rasa Nusantara 249,Menengah,Jabodetabek,2024-03-21
gocepat_cust_0250,gocepat,UD Laut Biru 250,Menengah,Jawa,2024-08-27
gocepat_cust_0251,gocepat,Warung Rasa Nusantara 251,Menengah,Jabodetabek,2024-09-16
gocepat_cust_0252,gocepat,Warung Mitra Dagang 252,Menengah,Indonesia Timur,2024-06-11
gocepat_cust_0253,gocepat,Warung Anugerah Prima 253,UMKM,Indonesia Timur,2024-08-25
gocepat_cust_0254,gocepat,CV Pangan Sehat 254,UMKM,Indonesia Timur,2024-08-12
gocepat_cust_0255,gocepat,UD Indah Makmur 255,UMKM,Jabodetabek,2024-09-18
gocepat_cust_0256,gocepat,PT Sumber Rejeki 256,Menengah,Jawa,2024-08-06
gocepat_cust_0257,gocepat,UD Maju Jaya 257,Korporasi,Sumatera,2024-03-28
gocepat_cust_0258,gocepat,UD Maju Jaya 258,Menengah,Sumatera,2024-12-22
gocepat_cust_0259,gocepat,UD Anugerah Prima 259,UMKM,Jabodetabek,2024-10-26
gocepat_cust_0260,gocepat,UD Sumber Rejeki 260,Menengah,Jabodetabek,2024-06-24
gocepat_cust_0261,gocepat,Toko Berkah Mandiri 261,UMKM,Sumatera,2024-05-28
gocepat_cust_0262,gocepat,UD Gunung Mas 262,UMKM,Sumatera,2024-09-03
gocepat_cust_0263,gocepat,CV Bumi Lestari 263,Menengah,Sumatera,2024-02-12
gocepat_cust_0264,gocepat,CV Laut Biru 264,UMKM,Jawa,2024-09-04
gocepat_cust_0265,gocepat,Toko Maju Jaya 265,Menengah,Indonesia Timur,2024-06-27
gocepat_cust_0266,gocepat,PT Pangan Sehat 266,Menengah,Indonesia Timur,2024-04-10
gocepat_cust_0267,gocepat,UD Maju Jaya 267,Menengah,Indonesia Timur,2024-11-14
gocepat_cust_0268,gocepat,PT Bumi Lestari 268,UMKM,Jawa,2024-12-12
gocepat_cust_0269,gocepat,PT Laut Biru 269,UMKM,Indonesia Timur,2024-05-18
gocepat_cust_0270,gocepat,CV Bumi Lestari 270,UMKM,Jabodetabek,2024-10-15
gocepat_cust_0271,gocepat,UD Citra Sejahtera 271,UMKM,Indonesia Timur,2024-01-07
gocepat_cust_0272,gocepat,Warung Maju Jaya 272,Korporasi,Jawa,2024-11-14
gocepat_cust_0273,gocepat,CV Anugerah Prima 273,UMKM,Jabodetabek,2024-02-04
gocepat_cust_0274,gocepat,Warung Rumah Nyaman 274,Menengah,Sumatera,2024-08-23
gocepat_cust_0275,gocepat,Toko Anugerah Prima 275,UMKM,Jawa,2024-12-09
gocepat_cust_0276,gocepat,Warung Batik Cantik 276,Korporasi,Indonesia Timur,2024-11-05
gocepat_cust_0277,gocepat,Warung Sumber Rejeki 277,Menengah,Jawa,2024-04-06
gocepat_cust_0278,gocepat,UD Maju Jaya 278,Menengah,Indonesia Timur,2024-09-18
gocepat_cust_0279,gocepat,PT Elektronik Ceria 279,Korporasi,Jawa,2024-07-08
gocepat_cust_0280,gocepat,UD Sumber Rejeki 280,Menengah,Sumatera,2024-09-14
gocepat_cust_0281,gocepat,Toko Citra Sejahtera 281,UMKM,Indonesia Timur,2024-10-03
gocepat_cust_0282,gocepat,Toko Sinar Abadi 282,Menengah,Sumatera,2024-03-26
gocepat_cust_0283,gocepat,PT Rumah Nyaman 283,Korporasi,Indonesia Timur,2024-06-20
gocepat_cust_0284,gocepat,Warung Pangan Sehat 284,Menengah,Sumatera,2024-08-10
gocepat_cust_0285,gocepat,PT Laut Biru 285,UMKM,Indonesia Timur,2024-05-03
gocepat_cust_0286,gocepat,PT Maju Jaya 286,Menengah,Jawa,2024-11-11
