booking_id,company_id,partner_id,booked_at,booking_status,fare_idr
gocepat_ord_00337,gocepat,gocepat_cust_0389,2025-09-03,completed,12984104
gocepat_ord_00374,gocepat,gocepat_cust_0227,2025-09-03,completed,16151514
gocepat_ord_00034,gocepat,gocepat_cust_0232,2025-09-04,cancelled,1672657
gocepat_ord_00044,gocepat,gocepat_cust_0363,2025-09-04,completed,23245775
gocepat_ord_00086,gocepat,gocepat_cust_0247,2025-09-04,completed,36527463
gocepat_ord_00131,gocepat,gocepat_cust_0070,2025-09-04,completed,1397504
gocepat_ord_00211,gocepat,gocepat_cust_0287,2025-09-04,completed,10126296
gocepat_ord_00321,gocepat,gocepat_cust_0181,2025-09-04,completed,22085878
gocepat_ord_00331,gocepat,gocepat_cust_0261,2025-09-04,completed,10594465
gocepat_ord_00358,gocepat,gocepat_cust_0166,2025-09-04,completed,26047986
gocepat_ord_00363,gocepat,gocepat_cust_0062,2025-09-04,completed,6630996
gocepat_ord_00367,gocepat,gocepat_cust_0062,2025-09-04,completed,5680199
gocepat_ord_00030,gocepat,gocepat_cust_0145,2025-09-05,completed,11456166
gocepat_ord_00038,gocepat,gocepat_cust_0175,2025-09-05,completed,13368380
gocepat_ord_00052,gocepat,gocepat_cust_0098,2025-09-05,completed,3341151
gocepat_ord_00219,gocepat,gocepat_cust_0254,2025-09-05,completed,20857814
gocepat_ord_00273,gocepat,gocepat_cust_0311,2025-09-05,cancelled,1361500
gocepat_ord_00286,gocepat,gocepat_cust_0061,2025-09-05,cancelled,2143230
gocepat_ord_00312,gocepat,gocepat_cust_0206,2025-09-05,completed,17634868
gocepat_ord_00325,gocepat,gocepat_cust_0190,2025-09-05,completed,24924377
gocepat_ord_00357,gocepat,gocepat_cust_0418,2025-09-05,completed,7162367
gocepat_ord_00359,gocepat,gocepat_cust_0269,2025-09-05,completed,10842801
gocepat_ord_00014,gocepat,gocepat_cust_0022,2025-09-06,completed,10848142
gocepat_ord_00037,gocepat,gocepat_cust_0389,2025-09-06,completed,24109015
gocepat_ord_00100,gocepat,gocepat_cust_0327,2025-09-06,completed,19677818
gocepat_ord_00116,gocepat,gocepat_cust_0340,2025-09-06,completed,6733627
gocepat_ord_00124,gocepat,gocepat_cust_0345,2025-09-06,completed,14409485
gocepat_ord_00136,gocepat,gocepat_cust_0389,2025-09-06,completed,25761921
gocepat_ord_00180,gocepat,gocepat_cust_0032,2025-09-06,completed,20829425
gocepat_ord_00215,gocepat,gocepat_cust_0037,2025-09-06,completed,8919684
gocepat_ord_00266,gocepat,gocepat_cust_0388,2025-09-06,completed,5147084
gocepat_ord_00279,gocepat,gocepat_cust_0323,2025-09-06,completed,14241272
gocepat_ord_00105,gocepat,gocepat_cust_0158,2025-09-07,completed,18648267
gocepat_ord_00140,gocepat,gocepat_cust_0317,2025-09-07,completed,23662248
gocepat_ord_00151,gocepat,gocepat_cust_0073,2025-09-07,completed,6689763
gocepat_ord_00179,gocepat,gocepat_cust_0444,2025-09-07,completed,10412346
gocepat_ord_00184,gocepat,gocepat_cust_0435,2025-09-07,completed,7275972
gocepat_ord_00268,gocepat,gocepat_cust_0356,2025-09-07,completed,8245281
gocepat_ord_00276,gocepat,gocepat_cust_0311,2025-09-07,cancelled,3725541
gocepat_ord_00308,gocepat,gocepat_cust_0085,2025-09-07,completed,13164543
gocepat_ord_00056,gocepat,gocepat_cust_0410,2025-09-08,cancelled,2459355
gocepat_ord_00081,gocepat,gocepat_cust_0416,2025-09-08,completed,2983994
gocepat_ord_00095,gocepat,gocepat_cust_0002,2025-09-08,completed,2399051
gocepat_ord_00126,gocepat,gocepat_cust_0449,2025-09-08,completed,7864041
gocepat_ord_00138,gocepat,gocepat_cust_0314,2025-09-08,completed,16305456
gocepat_ord_00195,gocepat,gocepat_cust_0198,2025-09-08,completed,24224922
gocepat_ord_00217,gocepat,gocepat_cust_0142,2025-09-08,completed,21730926
gocepat_ord_00264,gocepat,gocepat_cust_0431,2025-09-08,completed,3465580
gocepat_ord_00290,gocepat,gocepat_cust_0079,2025-09-08,cancelled,658227
gocepat_ord_00294,gocepat,gocepat_cust_0323,2025-09-08,completed,20890532
gocepat_ord_00319,gocepat,gocepat_cust_0310,2025-09-08,completed,10379052
gocepat_ord_00327,gocepat,gocepat_cust_0313,2025-09-08,completed,14857121
gocepat_ord_00378,gocepat,gocepat_cust_0120,2025-09-08,completed,11005185
gocepat_ord_00055,gocepat,gocepat_cust_0297,2025-09-09,completed,1770596
gocepat_ord_00099,gocepat,gocepat_cust_0362,2025-09-09,cancelled,897816
gocepat_ord_00134,gocepat,gocepat_cust_0289,2025-09-09,cancelled,167058
gocepat_ord_00145,gocepat,gocepat_cust_0304,2025-09-09,completed,31269969
gocepat_ord_00146,gocepat,gocepat_cust_0371,2025-09-09,completed,16384982
gocepat_ord_00169,gocepat,gocepat_cust_0264,2025-09-09,cancelled,3583092
gocepat_ord_00203,gocepat,gocepat_cust_0167,2025-09-09,completed,17124710
gocepat_ord_00212,gocepat,gocepat_cust_0075,2025-09-09,completed,31269969
gocepat_ord_00340,gocepat,gocepat_cust_0106,2025-09-09,completed,20426642
gocepat_ord_00001,gocepat,gocepat_cust_0337,2025-09-10,completed,2399051
gocepat_ord_00023,gocepat,gocepat_cust_0351,2025-09-10,completed,16972056
gocepat_ord_00035,gocepat,gocepat_cust_0405,2025-09-10,completed,7574754
gocepat_ord_00058,gocepat,gocepat_cust_0214,2025-09-10,completed,12948584
gocepat_ord_00148,gocepat,gocepat_cust_0239,2025-09-10,cancelled,550064
gocepat_ord_00172,gocepat,gocepat_cust_0243,2025-09-10,completed,14828348
gocepat_ord_00186,gocepat,gocepat_cust_0255,2025-09-10,completed,14211238
gocepat_ord_00204,gocepat,gocepat_cust_0380,2025-09-10,completed,11444662
gocepat_ord_00269,gocepat,gocepat_cust_0039,2025-09-10,cancelled,2109770
gocepat_ord_00365,gocepat,gocepat_cust_0047,2025-09-10,completed,12229092
gocepat_ord_00381,gocepat,gocepat_cust_0329,2025-09-10,completed,1770596
gocepat_ord_00009,gocepat,gocepat_cust_0243,2025-09-11,completed,5068986
gocepat_ord_00061,gocepat,gocepat_cust_0010,2025-09-11,completed,2401352
gocepat_ord_00098,gocepat,gocepat_cust_0282,2025-09-11,completed,19378698
gocepat_ord_00111,gocepat,gocepat_cust_0019,2025-09-11,completed,3516511
gocepat_ord_00164,gocepat,gocepat_cust_0300,2025-09-11,completed,17479341
gocepat_ord_00173,gocepat,gocepat_cust_0385,2025-09-11,cancelled,2113299
gocepat_ord_00177,gocepat,gocepat_cust_0105,2025-09-11,cancelled,3874433
gocepat_ord_00197,gocepat,gocepat_cust_0066,2025-09-11,cancelled,3996668
gocepat_ord_00221,gocepat,gocepat_cust_0002,2025-09-11,completed,12529736
gocepat_ord_00236,gocepat,gocepat_cust_0045,2025-09-11,completed,11747323
gocepat_ord_00244,gocepat,gocepat_cust_0037,2025-09-11,cancelled,1219067
gocepat_ord_00280,gocepat,gocepat_cust_0203,2025-09-11,completed,15354627
gocepat_ord_00281,gocepat,gocepat_cust_0262,2025-09-11,completed,16446307
gocepat_ord_00284,gocepat,gocepat_cust_0088,2025-09-11,cancelled,180101
gocepat_ord_00297,gocepat,gocepat_cust_0193,2025-09-11,completed,3379324
gocepat_ord_00317,gocepat,gocepat_cust_0017,2025-09-11,completed,10159289
gocepat_ord_00329,gocepat,gocepat_cust_0369,2025-09-11,completed,11908209
gocepat_ord_00004,gocepat,gocepat_cust_0140,2025-09-12,completed,16118991
gocepat_ord_00046,gocepat,gocepat_cust_0243,2025-09-12,completed,12296028
gocepat_ord_00075,gocepat,gocepat_cust_0333,2025-09-12,completed,790324
gocepat_ord_00093,gocepat,gocepat_cust_0125,2025-09-12,completed,14322810
gocepat_ord_00129,gocepat,gocepat_cust_0309,2025-09-12,completed,28573686
gocepat_ord_00159,gocepat,gocepat_cust_0002,2025-09-12,cancelled,360203
gocepat_ord_00161,gocepat,gocepat_cust_0264,2025-09-12,completed,8261079
gocepat_ord_00171,gocepat,gocepat_cust_0382,2025-09-12,completed,17967247
gocepat_ord_00183,gocepat,gocepat_cust_0420,2025-09-12,completed,6264868
gocepat_ord_00199,gocepat,gocepat_cust_0299,2025-09-12,completed,349376
gocepat_ord_00225,gocepat,gocepat_cust_0285,2025-09-12,completed,10115568
gocepat_ord_00323,gocepat,gocepat_cust_0295,2025-09-12,completed,12690943
gocepat_ord_00339,gocepat,gocepat_cust_0207,2025-09-12,completed,21606372
gocepat_ord_00017,gocepat,gocepat_cust_0082,2025-09-13,completed,4459842
gocepat_ord_00028,gocepat,gocepat_cust_0050,2025-09-13,cancelled,1074734
gocepat_ord_00047,gocepat,gocepat_cust_0135,2025-09-13,completed,15333680
gocepat_ord_00066,gocepat,gocepat_cust_0339,2025-09-13,completed,3341151
gocepat_ord_00113,gocepat,gocepat_cust_0106,2025-09-13,completed,17413701
gocepat_ord_00122,gocepat,gocepat_cust_0280,2025-09-13,completed,23522374
gocepat_ord_00149,gocepat,gocepat_cust_0262,2025-09-13,completed,9397302
gocepat_ord_00158,gocepat,gocepat_cust_0317,2025-09-13,cancelled,2204264
gocepat_ord_00163,gocepat,gocepat_cust_0424,2025-09-13,cancelled,575013
gocepat_ord_00167,gocepat,gocepat_cust_0080,2025-09-13,completed,1327947
gocepat_ord_00181,gocepat,gocepat_cust_0034,2025-09-13,completed,8919684
gocepat_ord_00218,gocepat,gocepat_cust_0102,2025-09-13,completed,2594763
gocepat_ord_00234,gocepat,gocepat_cust_0219,2025-09-13,completed,8661440
gocepat_ord_00245,gocepat,gocepat_cust_0151,2025-09-13,completed,7865142
gocepat_ord_00287,gocepat,gocepat_cust_0269,2025-09-13,completed,23048808
gocepat_ord_00334,gocepat,gocepat_cust_0346,2025-09-13,cancelled,1749269
gocepat_ord_00380,gocepat,gocepat_cust_0283,2025-09-13,cancelled,2192246
gocepat_ord_00053,gocepat,gocepat_cust_0093,2025-09-14,completed,2932402
gocepat_ord_00054,gocepat,gocepat_cust_0444,2025-09-14,completed,8930130
gocepat_ord_00071,gocepat,gocepat_cust_0315,2025-09-14,completed,4798102
gocepat_ord_00090,gocepat,gocepat_cust_0251,2025-09-14,cancelled,4030593
gocepat_ord_00121,gocepat,gocepat_cust_0002,2025-09-14,completed,2401352
gocepat_ord_00152,gocepat,gocepat_cust_0423,2025-09-14,completed,4330720
gocepat_ord_00166,gocepat,gocepat_cust_0326,2025-09-14,cancelled,29637
gocepat_ord_00200,gocepat,gocepat_cust_0088,2025-09-14,completed,23323794
gocepat_ord_00222,gocepat,gocepat_cust_0164,2025-09-14,completed,22159632
gocepat_ord_00235,gocepat,gocepat_cust_0008,2025-09-14,completed,7666840
gocepat_ord_00250,gocepat,gocepat_cust_0055,2025-09-14,completed,19029347
gocepat_ord_00261,gocepat,gocepat_cust_0066,2025-09-14,completed,18935708
gocepat_ord_00265,gocepat,gocepat_cust_0394,2025-09-14,completed,17632164
gocepat_ord_00275,gocepat,gocepat_cust_0114,2025-09-14,cancelled,1514951
gocepat_ord_00296,gocepat,gocepat_cust_0169,2025-09-14,completed,10797635
gocepat_ord_00301,gocepat,gocepat_cust_0340,2025-09-14,completed,15076306
gocepat_ord_00313,gocepat,gocepat_cust_0276,2025-09-14,completed,19699535
gocepat_ord_00316,gocepat,gocepat_cust_0093,2025-09-14,completed,10452812
gocepat_ord_00326,gocepat,gocepat_cust_0077,2025-09-14,completed,18533893
gocepat_ord_00370,gocepat,gocepat_cust_0304,2025-09-14,cancelled,2299465
gocepat_ord_00032,gocepat,gocepat_cust_0045,2025-09-15,completed,17681475
gocepat_ord_00101,gocepat,gocepat_cust_0393,2025-09-15,cancelled,506899
gocepat_ord_00168,gocepat,gocepat_cust_0113,2025-09-15,completed,29299842
gocepat_ord_00188,gocepat,gocepat_cust_0062,2025-09-15,completed,7933598
gocepat_ord_00260,gocepat,gocepat_cust_0364,2025-09-15,cancelled,3755963
gocepat_ord_00285,gocepat,gocepat_cust_0264,2025-09-15,cancelled,1879460
gocepat_ord_00366,gocepat,gocepat_cust_0198,2025-09-15,cancelled,579047
gocepat_ord_00078,gocepat,gocepat_cust_0328,2025-09-16,cancelled,506899
gocepat_ord_00079,gocepat,gocepat_cust_0320,2025-09-16,completed,2479986
gocepat_ord_00102,gocepat,gocepat_cust_0232,2025-09-16,completed,13862320
gocepat_ord_00125,gocepat,gocepat_cust_0042,2025-09-16,completed,5037277
gocepat_ord_00133,gocepat,gocepat_cust_0352,2025-09-16,completed,10667508
gocepat_ord_00209,gocepat,gocepat_cust_0268,2025-09-16,cancelled,616181
gocepat_ord_00214,gocepat,gocepat_cust_0024,2025-09-16,completed,4076364
gocepat_ord_00293,gocepat,gocepat_cust_0086,2025-09-16,completed,12229092
gocepat_ord_00295,gocepat,gocepat_cust_0196,2025-09-16,cancelled,2058150
gocepat_ord_00314,gocepat,gocepat_cust_0368,2025-09-16,completed,16092616
gocepat_ord_00332,gocepat,gocepat_cust_0168,2025-09-16,completed,30490647
gocepat_ord_00347,gocepat,gocepat_cust_0032,2025-09-16,cancelled,1694336
gocepat_ord_00379,gocepat,gocepat_cust_0112,2025-09-16,completed,17615894
gocepat_ord_00006,gocepat,gocepat_cust_0408,2025-09-17,completed,1200676
gocepat_ord_00036,gocepat,gocepat_cust_0009,2025-09-17,completed,7664882
gocepat_ord_00051,gocepat,gocepat_cust_0355,2025-09-17,cancelled,3592555
gocepat_ord_00057,gocepat,gocepat_cust_0155,2025-09-17,completed,11667920
gocepat_ord_00070,gocepat,gocepat_cust_0022,2025-09-17,cancelled,1718425
gocepat_ord_00080,gocepat,gocepat_cust_0310,2025-09-17,completed,9625450
gocepat_ord_00091,gocepat,gocepat_cust_0208,2025-09-17,completed,5029472
gocepat_ord_00147,gocepat,gocepat_cust_0070,2025-09-17,completed,4454868
gocepat_ord_00194,gocepat,gocepat_cust_0443,2025-09-17,completed,15721956
gocepat_ord_00213,gocepat,gocepat_cust_0232,2025-09-17,completed,13261992
gocepat_ord_00272,gocepat,gocepat_cust_0137,2025-09-17,completed,25894680
gocepat_ord_00307,gocepat,gocepat_cust_0146,2025-09-17,completed,11386124
gocepat_ord_00322,gocepat,gocepat_cust_0147,2025-09-17,completed,6717451
gocepat_ord_00324,gocepat,gocepat_cust_0227,2025-09-17,completed,12532158
gocepat_ord_00375,gocepat,gocepat_cust_0035,2025-09-17,completed,8950862
gocepat_ord_00376,gocepat,gocepat_cust_0226,2025-09-17,completed,10396740
gocepat_ord_00002,gocepat,gocepat_cust_0420,2025-09-18,completed,3341151
gocepat_ord_00015,gocepat,gocepat_cust_0335,2025-09-18,cancelled,3640036
gocepat_ord_00069,gocepat,gocepat_cust_0096,2025-09-18,cancelled,1546742
gocepat_ord_00072,gocepat,gocepat_cust_0370,2025-09-18,completed,5985438
gocepat_ord_00114,gocepat,gocepat_cust_0046,2025-09-18,completed,10306951
gocepat_ord_00130,gocepat,gocepat_cust_0234,2025-09-18,cancelled,506899
gocepat_ord_00137,gocepat,gocepat_cust_0010,2025-09-18,completed,7209133
gocepat_ord_00154,gocepat,gocepat_cust_0061,2025-09-18,completed,17466992
gocepat_ord_00155,gocepat,gocepat_cust_0242,2025-09-18,completed,13463005
gocepat_ord_00198,gocepat,gocepat_cust_0079,2025-09-18,cancelled,1028007
gocepat_ord_00230,gocepat,gocepat_cust_0013,2025-09-18,cancelled,2773211
gocepat_ord_00232,gocepat,gocepat_cust_0188,2025-09-18,completed,5985438
gocepat_ord_00240,gocepat,gocepat_cust_0435,2025-09-18,cancelled,1891346
gocepat_ord_00253,gocepat,gocepat_cust_0179,2025-09-18,completed,24763561
gocepat_ord_00256,gocepat,gocepat_cust_0372,2025-09-18,completed,7511919
gocepat_ord_00371,gocepat,gocepat_cust_0259,2025-09-18,completed,11447834
gocepat_ord_00377,gocepat,gocepat_cust_0054,2025-09-18,completed,592743
gocepat_ord_00387,gocepat,gocepat_cust_0257,2025-09-18,completed,3268047
gocepat_ord_00011,gocepat,gocepat_cust_0083,2025-09-19,completed,10042971
gocepat_ord_00025,gocepat,gocepat_cust_0107,2025-09-19,completed,29091034
gocepat_ord_00031,gocepat,gocepat_cust_0264,2025-09-19,completed,4330720
gocepat_ord_00087,gocepat,gocepat_cust_0065,2025-09-19,completed,1113717
gocepat_ord_00239,gocepat,gocepat_cust_0269,2025-09-19,completed,1917307
gocepat_ord_00248,gocepat,gocepat_cust_0405,2025-09-19,completed,13261992
gocepat_ord_00302,gocepat,gocepat_cust_0301,2025-09-19,cancelled,720406
gocepat_ord_00309,gocepat,gocepat_cust_0024,2025-09-19,completed,13862320
gocepat_ord_00349,gocepat,gocepat_cust_0383,2025-09-19,completed,14980987
gocepat_ord_00360,gocepat,gocepat_cust_0044,2025-09-19,completed,349376
gocepat_ord_00369,gocepat,gocepat_cust_0416,2025-09-19,completed,13686087
gocepat_ord_00386,gocepat,gocepat_cust_0004,2025-09-19,completed,4979212
gocepat_ord_00007,gocepat,gocepat_cust_0239,2025-09-20,completed,10090648
gocepat_ord_00013,gocepat,gocepat_cust_0343,2025-09-20,completed,16323030
gocepat_ord_00068,gocepat,gocepat_cust_0351,2025-09-20,completed,3655665
gocepat_ord_00115,gocepat,gocepat_cust_0081,2025-09-20,completed,17901724
gocepat_ord_00120,gocepat,gocepat_cust_0417,2025-09-20,completed,6968064
gocepat_ord_00162,gocepat,gocepat_cust_0312,2025-09-20,completed,35370765
gocepat_ord_00178,gocepat,gocepat_cust_0112,2025-09-20,cancelled,2086072
gocepat_ord_00187,gocepat,gocepat_cust_0404,2025-09-20,cancelled,2333226
gocepat_ord_00193,gocepat,gocepat_cust_0417,2025-09-20,cancelled,2464723
gocepat_ord_00206,gocepat,gocepat_cust_0123,2025-09-20,completed,8943052
gocepat_ord_00231,gocepat,gocepat_cust_0340,2025-09-20,completed,698752
gocepat_ord_00255,gocepat,gocepat_cust_0062,2025-09-20,completed,25675078
gocepat_ord_00289,gocepat,gocepat_cust_0400,2025-09-20,completed,1851654
gocepat_ord_00328,gocepat,gocepat_cust_0313,2025-09-20,completed,13412074
gocepat_ord_00361,gocepat,gocepat_cust_0056,2025-09-20,completed,11190970
gocepat_ord_00045,gocepat,gocepat_cust_0154,2025-09-21,completed,17552724
gocepat_ord_00067,gocepat,gocepat_cust_0260,2025-09-21,completed,20679699
gocepat_ord_00112,gocepat,gocepat_cust_0311,2025-09-21,completed,16394704
gocepat_ord_00142,gocepat,gocepat_cust_0104,2025-09-21,completed,26093343
gocepat_ord_00165,gocepat,gocepat_cust_0311,2025-09-21,completed,14243409
gocepat_ord_00175,gocepat,gocepat_cust_0406,2025-09-21,completed,12299008
gocepat_ord_00271,gocepat,gocepat_cust_0097,2025-09-21,completed,8797206
gocepat_ord_00283,gocepat,gocepat_cust_0244,2025-09-21,completed,12509297
gocepat_ord_00298,gocepat,gocepat_cust_0302,2025-09-21,completed,8445402
gocepat_ord_00350,gocepat,gocepat_cust_0077,2025-09-21,completed,10581082
gocepat_ord_00382,gocepat,gocepat_cust_0152,2025-09-21,completed,21154827
gocepat_ord_00042,gocepat,gocepat_cust_0054,2025-09-22,completed,2618775
gocepat_ord_00063,gocepat,gocepat_cust_0302,2025-09-22,completed,11456166
gocepat_ord_00076,gocepat,gocepat_cust_0290,2025-09-22,completed,27867892
gocepat_ord_00083,gocepat,gocepat_cust_0200,2025-09-22,completed,22002318
gocepat_ord_00085,gocepat,gocepat_cust_0149,2025-09-22,completed,10090648
gocepat_ord_00092,gocepat,gocepat_cust_0100,2025-09-22,completed,12650854
gocepat_ord_00117,gocepat,gocepat_cust_0213,2025-09-22,completed,7336790
gocepat_ord_00144,gocepat,gocepat_cust_0215,2025-09-22,completed,17450138
gocepat_ord_00174,gocepat,gocepat_cust_0119,2025-09-22,completed,17490629
gocepat_ord_00220,gocepat,gocepat_cust_0419,2025-09-22,completed,13954867
gocepat_ord_00238,gocepat,gocepat_cust_0343,2025-09-22,cancelled,1513597
gocepat_ord_00267,gocepat,gocepat_cust_0427,2025-09-22,cancelled,5190137
gocepat_ord_00341,gocepat,gocepat_cust_0276,2025-09-22,cancelled,4418935
gocepat_ord_00362,gocepat,gocepat_cust_0413,2025-09-22,completed,8215810
gocepat_ord_00019,gocepat,gocepat_cust_0080,2025-09-23,completed,19025608
gocepat_ord_00033,gocepat,gocepat_cust_0104,2025-09-23,completed,6179313
gocepat_ord_00094,gocepat,gocepat_cust_0030,2025-09-23,completed,15196889
gocepat_ord_00118,gocepat,gocepat_cust_0239,2025-09-23,completed,6695314
gocepat_ord_00135,gocepat,gocepat_cust_0161,2025-09-23,cancelled,1996332
gocepat_ord_00170,gocepat,gocepat_cust_0288,2025-09-23,completed,3878017
gocepat_ord_00189,gocepat,gocepat_cust_0406,2025-09-23,cancelled,2732180
gocepat_ord_00207,gocepat,gocepat_cust_0314,2025-09-23,completed,13222735
gocepat_ord_00227,gocepat,gocepat_cust_0416,2025-09-23,completed,5189526
gocepat_ord_00263,gocepat,gocepat_cust_0168,2025-09-23,completed,2573542
gocepat_ord_00274,gocepat,gocepat_cust_0158,2025-09-23,completed,5049836
gocepat_ord_00291,gocepat,gocepat_cust_0378,2025-09-23,cancelled,4898640
gocepat_ord_00318,gocepat,gocepat_cust_0436,2025-09-23,completed,3268047
gocepat_ord_00356,gocepat,gocepat_cust_0415,2025-09-23,cancelled,1541274
gocepat_ord_00021,gocepat,gocepat_cust_0268,2025-09-24,completed,9069991
gocepat_ord_00062,gocepat,gocepat_cust_0055,2025-09-24,completed,21922290
gocepat_ord_00077,gocepat,gocepat_cust_0387,2025-09-24,completed,1218555
gocepat_ord_00084,gocepat,gocepat_cust_0226,2025-09-24,cancelled,1678676
gocepat_ord_00103,gocepat,gocepat_cust_0390,2025-09-24,completed,31002168
gocepat_ord_00109,gocepat,gocepat_cust_0039,2025-09-24,completed,12323616
gocepat_ord_00119,gocepat,gocepat_cust_0010,2025-09-24,cancelled,2492530
gocepat_ord_00191,gocepat,gocepat_cust_0055,2025-09-24,completed,16948099
gocepat_ord_00208,gocepat,gocepat_cust_0290,2025-09-24,completed,1327947
gocepat_ord_00241,gocepat,gocepat_cust_0349,2025-09-24,cancelled,3033975
gocepat_ord_00249,gocepat,gocepat_cust_0058,2025-09-24,completed,12229092
gocepat_ord_00282,gocepat,gocepat_cust_0189,2025-09-24,completed,11639774
gocepat_ord_00288,gocepat,gocepat_cust_0216,2025-09-24,completed,14849741
gocepat_ord_00315,gocepat,gocepat_cust_0285,2025-09-24,completed,20656170
gocepat_ord_00010,gocepat,gocepat_cust_0018,2025-09-25,completed,19660484
gocepat_ord_00027,gocepat,gocepat_cust_0395,2025-09-25,completed,11342304
gocepat_ord_00043,gocepat,gocepat_cust_0160,2025-09-25,completed,11146823
gocepat_ord_00049,gocepat,gocepat_cust_0080,2025-09-25,completed,9621815
gocepat_ord_00157,gocepat,gocepat_cust_0087,2025-09-25,completed,1770596
gocepat_ord_00182,gocepat,gocepat_cust_0271,2025-09-25,completed,7468818
gocepat_ord_00216,gocepat,gocepat_cust_0067,2025-09-25,completed,14462634
gocepat_ord_00270,gocepat,gocepat_cust_0242,2025-09-25,completed,12630626
gocepat_ord_00277,gocepat,gocepat_cust_0410,2025-09-25,completed,5967988
gocepat_ord_00330,gocepat,gocepat_cust_0434,2025-09-25,cancelled,2740437
gocepat_ord_00343,gocepat,gocepat_cust_0079,2025-09-25,completed,27376301
gocepat_ord_00368,gocepat,gocepat_cust_0309,2025-09-25,completed,20726483
gocepat_ord_00372,gocepat,gocepat_cust_0069,2025-09-25,completed,26489864
gocepat_ord_00016,gocepat,gocepat_cust_0197,2025-09-26,completed,26362072
gocepat_ord_00041,gocepat,gocepat_cust_0389,2025-09-26,cancelled,5785193
gocepat_ord_00059,gocepat,gocepat_cust_0212,2025-09-26,completed,22987253
gocepat_ord_00104,gocepat,gocepat_cust_0251,2025-09-26,completed,4919928
gocepat_ord_00108,gocepat,gocepat_cust_0300,2025-09-26,completed,2522662
gocepat_ord_00223,gocepat,gocepat_cust_0437,2025-09-26,completed,28800091
gocepat_ord_00228,gocepat,gocepat_cust_0220,2025-09-26,completed,7856325
gocepat_ord_00247,gocepat,gocepat_cust_0122,2025-09-26,completed,11388343
gocepat_ord_00278,gocepat,gocepat_cust_0116,2025-09-26,completed,12636179
gocepat_ord_00299,gocepat,gocepat_cust_0435,2025-09-26,completed,22790375
gocepat_ord_00305,gocepat,gocepat_cust_0231,2025-09-26,completed,19315402
gocepat_ord_00333,gocepat,gocepat_cust_0069,2025-09-26,completed,9184920
gocepat_ord_00351,gocepat,gocepat_cust_0119,2025-09-26,completed,7317104
gocepat_ord_00353,gocepat,gocepat_cust_0304,2025-09-26,completed,3347657
gocepat_ord_00354,gocepat,gocepat_cust_0189,2025-09-26,completed,28329571
