leg_id,company_id,booking_id,service_id,qty,fare_component_idr
gocepat_item_00047,gocepat,gocepat_ord_00026,gocepat_prod_0018,1,3315498
gocepat_item_00048,gocepat,gocepat_ord_00027,gocepat_prod_0021,1,2983994
gocepat_item_00049,gocepat,gocepat_ord_00027,gocepat_prod_0010,4,790324
gocepat_item_00050,gocepat,gocepat_ord_00027,gocepat_prod_0025,3,7567986
gocepat_item_00051,gocepat,gocepat_ord_00028,gocepat_prod_0031,3,540304
gocepat_item_00052,gocepat,gocepat_ord_00028,gocepat_prod_0023,4,209626
gocepat_item_00053,gocepat,gocepat_ord_00028,gocepat_prod_0030,1,324804
gocepat_item_00054,gocepat,gocepat_ord_00029,gocepat_prod_0016,4,15274888
gocepat_item_00055,gocepat,gocepat_ord_00030,gocepat_prod_0016,3,11456166
gocepat_item_00056,gocepat,gocepat_ord_00031,gocepat_prod_0030,2,4330720
gocepat_item_00057,gocepat,gocepat_ord_00032,gocepat_prod_0022,1,1286771
gocepat_item_00058,gocepat,gocepat_ord_00032,gocepat_prod_0020,4,16394704
gocepat_item_00059,gocepat,gocepat_ord_00033,gocepat_prod_0024,1,4408717
gocepat_item_00060,gocepat,gocepat_ord_00033,gocepat_prod_0005,4,1770596
gocepat_item_00061,gocepat,gocepat_ord_00034,gocepat_prod_0013,1,373441
gocepat_item_00062,gocepat,gocepat_ord_00034,gocepat_prod_0030,4,1299216
gocepat_item_00063,gocepat,gocepat_ord_00035,gocepat_prod_0037,3,7574754
gocepat_item_00064,gocepat,gocepat_ord_00036,gocepat_prod_0039,2,7664882
gocepat_item_00065,gocepat,gocepat_ord_00037,gocepat_prod_0017,4,14066044
gocepat_item_00066,gocepat,gocepat_ord_00037,gocepat_prod_0002,3,10042971
gocepat_item_00067,gocepat,gocepat_ord_00038,gocepat_prod_0023,1,349376
gocepat_item_00068,gocepat,gocepat_ord_00038,gocepat_prod_0023,3,1048128
gocepat_item_00069,gocepat,gocepat_ord_00038,gocepat_prod_0036,4,11970876
gocepat_item_00070,gocepat,gocepat_ord_00039,gocepat_prod_0033,4,2445818
gocepat_item_00071,gocepat,gocepat_ord_00039,gocepat_prod_0032,2,778429
gocepat_item_00072,gocepat,gocepat_ord_00040,gocepat_prod_0032,3,7784289
gocepat_item_00073,gocepat,gocepat_ord_00040,gocepat_prod_0040,3,13164543
gocepat_item_00074,gocepat,gocepat_ord_00041,gocepat_prod_0027,4,2676551
gocepat_item_00075,gocepat,gocepat_ord_00041,gocepat_prod_0024,2,1322615
gocepat_item_00076,gocepat,gocepat_ord_00041,gocepat_prod_0026,4,1786026
gocepat_item_00077,gocepat,gocepat_ord_00042,gocepat_prod_0028,1,2618775
gocepat_item_00078,gocepat,gocepat_ord_00043,gocepat_prod_0010,3,592743
gocepat_item_00079,gocepat,gocepat_ord_00043,gocepat_prod_0033,2,8152728
gocepat_item_00080,gocepat,gocepat_ord_00043,gocepat_prod_0031,2,2401352
gocepat_item_00081,gocepat,gocepat_ord_00044,gocepat_prod_0028,1,2618775
gocepat_item_00082,gocepat,gocepat_ord_00044,gocepat_prod_0026,2,5953420
gocepat_item_00083,gocepat,gocepat_ord_00044,gocepat_prod_0004,4,14673580
gocepat_item_00084,gocepat,gocepat_ord_00045,gocepat_prod_0040,4,17552724
gocepat_item_00085,gocepat,gocepat_ord_00046,gocepat_prod_0020,3,12296028
gocepat_item_00086,gocepat,gocepat_ord_00047,gocepat_prod_0014,4,15333680
gocepat_item_00087,gocepat,gocepat_ord_00048,gocepat_prod_0027,4,17843676
gocepat_item_00088,gocepat,gocepat_ord_00049,gocepat_prod_0004,1,3668395
gocepat_item_00089,gocepat,gocepat_ord_00049,gocepat_prod_0026,2,5953420
gocepat_item_00090,gocepat,gocepat_ord_00050,gocepat_prod_0022,4,5147084
gocepat_item_00091,gocepat,gocepat_ord_00051,gocepat_prod_0007,1,334488
gocepat_item_00092,gocepat,gocepat_ord_00051,gocepat_prod_0016,1,572808
gocepat_item_00093,gocepat,gocepat_ord_00051,gocepat_prod_0035,4,2685259
gocepat_item_00094,gocepat,gocepat_ord_00052,gocepat_prod_0008,3,3341151
gocepat_item_00095,gocepat,gocepat_ord_00053,gocepat_prod_0015,1,2932402
gocepat_item_00096,gocepat,gocepat_ord_00054,gocepat_prod_0026,3,8930130
gocepat_item_00097,gocepat,gocepat_ord_00055,gocepat_prod_0005,4,1770596
gocepat_item_00098,gocepat,gocepat_ord_00056,gocepat_prod_0003,1,184497
gocepat_item_00099,gocepat,gocepat_ord_00056,gocepat_prod_0039,3,1724598
gocepat_item_00100,gocepat,gocepat_ord_00056,gocepat_prod_0004,1,550259
gocepat_item_00101,gocepat,gocepat_ord_00057,gocepat_prod_0023,3,1048128
gocepat_item_00102,gocepat,gocepat_ord_00057,gocepat_prod_0026,3,8930130
gocepat_item_00103,gocepat,gocepat_ord_00057,gocepat_prod_0009,1,1689662
gocepat_item_00104,gocepat,gocepat_ord_00058,gocepat_prod_0038,1,2399051
gocepat_item_00105,gocepat,gocepat_ord_00058,gocepat_prod_0017,3,10549533
gocepat_item_00106,gocepat,gocepat_ord_00059,gocepat_prod_0027,1,4460919
gocepat_item_00107,gocepat,gocepat_ord_00059,gocepat_prod_0026,3,8930130
gocepat_item_00108,gocepat,gocepat_ord_00059,gocepat_prod_0038,4,9596204
gocepat_item_00109,gocepat,gocepat_ord_00060,gocepat_prod_0024,1,4408717
gocepat_item_00110,gocepat,gocepat_ord_00061,gocepat_prod_0031,2,2401352
gocepat_item_00111,gocepat,gocepat_ord_00062,gocepat_prod_0030,4,8661440
gocepat_item_00112,gocepat,gocepat_ord_00062,gocepat_prod_0030,2,4330720
gocepat_item_00113,gocepat,gocepat_ord_00062,gocepat_prod_0026,3,8930130
gocepat_item_00114,gocepat,gocepat_ord_00063,gocepat_prod_0016,3,11456166
gocepat_item_00115,gocepat,gocepat_ord_00064,gocepat_prod_0038,3,7197153
gocepat_item_00116,gocepat,gocepat_ord_00064,gocepat_prod_0024,3,13226151
gocepat_item_00117,gocepat,gocepat_ord_00064,gocepat_prod_0005,4,1770596
gocepat_item_00118,gocepat,gocepat_ord_00065,gocepat_prod_0004,1,3668395
gocepat_item_00119,gocepat,gocepat_ord_00065,gocepat_prod_0031,4,4802704
gocepat_item_00120,gocepat,gocepat_ord_00065,gocepat_prod_0026,3,8930130
gocepat_item_00121,gocepat,gocepat_ord_00066,gocepat_prod_0008,3,3341151
gocepat_item_00122,gocepat,gocepat_ord_00067,gocepat_prod_0038,4,9596204
gocepat_item_00123,gocepat,gocepat_ord_00067,gocepat_prod_0002,2,6695314
gocepat_item_00124,gocepat,gocepat_ord_00067,gocepat_prod_0040,1,4388181
gocepat_item_00125,gocepat,gocepat_ord_00068,gocepat_prod_0001,3,3655665
gocepat_item_00126,gocepat,gocepat_ord_00069,gocepat_prod_0037,1,378738
gocepat_item_00127,gocepat,gocepat_ord_00069,gocepat_prod_0021,1,447599
gocepat_item_00128,gocepat,gocepat_ord_00069,gocepat_prod_0031,4,720406
gocepat_item_00129,gocepat,gocepat_ord_00070,gocepat_prod_0016,3,1718425
gocepat_item_00130,gocepat,gocepat_ord_00071,gocepat_prod_0038,2,4798102
gocepat_item_00131,gocepat,gocepat_ord_00072,gocepat_prod_0036,2,5985438
gocepat_item_00132,gocepat,gocepat_ord_00073,gocepat_prod_0008,2,2227434
gocepat_item_00133,gocepat,gocepat_ord_00074,gocepat_prod_0038,1,2399051
gocepat_item_00134,gocepat,gocepat_ord_00074,gocepat_prod_0027,2,8921838
gocepat_item_00135,gocepat,gocepat_ord_00075,gocepat_prod_0010,4,790324
gocepat_item_00136,gocepat,gocepat_ord_00076,gocepat_prod_0024,4,17634868
gocepat_item_00137,gocepat,gocepat_ord_00076,gocepat_prod_0018,2,6630996
gocepat_item_00138,gocepat,gocepat_ord_00076,gocepat_prod_0031,3,3602028
gocepat_item_00139,gocepat,gocepat_ord_00077,gocepat_prod_0001,1,1218555
gocepat_item_00140,gocepat,gocepat_ord_00078,gocepat_prod_0009,2,506899
gocepat_item_00141,gocepat,gocepat_ord_00079,gocepat_prod_0010,4,790324
gocepat_item_00142,gocepat,gocepat_ord_00079,gocepat_prod_0009,1,1689662
gocepat_item_00143,gocepat,gocepat_ord_00080,gocepat_prod_0029,2,6246126
gocepat_item_00144,gocepat,gocepat_ord_00080,gocepat_prod_0009,2,3379324
gocepat_item_00145,gocepat,gocepat_ord_00081,gocepat_prod_0021,1,2983994
gocepat_item_00146,gocepat,gocepat_ord_00082,gocepat_prod_0034,1,72597
gocepat_item_00147,gocepat,gocepat_ord_00083,gocepat_prod_0011,4,13072188
gocepat_item_00148,gocepat,gocepat_ord_00083,gocepat_prod_0026,3,8930130
gocepat_item_00149,gocepat,gocepat_ord_00084,gocepat_prod_0017,1,527477
gocepat_item_00150,gocepat,gocepat_ord_00084,gocepat_prod_0028,2,785633
gocepat_item_00151,gocepat,gocepat_ord_00084,gocepat_prod_0001,2,365567
gocepat_item_00152,gocepat,gocepat_ord_00085,gocepat_prod_0025,4,10090648
gocepat_item_00153,gocepat,gocepat_ord_00086,gocepat_prod_0021,4,11935976
gocepat_item_00154,gocepat,gocepat_ord_00086,gocepat_prod_0035,4,17901724
gocepat_item_00155,gocepat,gocepat_ord_00086,gocepat_prod_0007,3,6689763
gocepat_item_00156,gocepat,gocepat_ord_00087,gocepat_prod_0008,1,1113717
gocepat_item_00157,gocepat,gocepat_ord_00088,gocepat_prod_0028,2,5237550
gocepat_item_00158,gocepat,gocepat_ord_00088,gocepat_prod_0009,2,3379324
gocepat_item_00159,gocepat,gocepat_ord_00089,gocepat_prod_0027,4,17843676
gocepat_item_00160,gocepat,gocepat_ord_00089,gocepat_prod_0001,1,1218555
gocepat_item_00161,gocepat,gocepat_ord_00090,gocepat_prod_0033,3,1834364
gocepat_item_00162,gocepat,gocepat_ord_00090,gocepat_prod_0038,4,1439431
gocepat_item_00163,gocepat,gocepat_ord_00090,gocepat_prod_0025,2,756799
gocepat_item_00164,gocepat,gocepat_ord_00091,gocepat_prod_0023,2,698752
gocepat_item_00165,gocepat,gocepat_ord_00091,gocepat_prod_0030,2,4330720
gocepat_item_00166,gocepat,gocepat_ord_00092,gocepat_prod_0024,2,8817434
gocepat_item_00167,gocepat,gocepat_ord_00092,gocepat_prod_0014,1,3833420
gocepat_item_00168,gocepat,gocepat_ord_00093,gocepat_prod_0006,1,4107872
gocepat_item_00169,gocepat,gocepat_ord_00093,gocepat_prod_0024,2,8817434
gocepat_item_00170,gocepat,gocepat_ord_00093,gocepat_prod_0023,4,1397504
gocepat_item_00171,gocepat,gocepat_ord_00094,gocepat_prod_0035,3,13426293
gocepat_item_00172,gocepat,gocepat_ord_00094,gocepat_prod_0005,4,1770596
gocepat_item_00173,gocepat,gocepat_ord_00095,gocepat_prod_0038,1,2399051
gocepat_item_00174,gocepat,gocepat_ord_00096,gocepat_prod_0008,1,1113717
gocepat_item_00175,gocepat,gocepat_ord_00097,gocepat_prod_0016,4,15274888
gocepat_item_00176,gocepat,gocepat_ord_00097,gocepat_prod_0011,4,13072188
gocepat_item_00177,gocepat,gocepat_ord_00098,gocepat_prod_0020,4,16394704
gocepat_item_00178,gocepat,gocepat_ord_00098,gocepat_prod_0021,1,2983994
gocepat_item_00179,gocepat,gocepat_ord_00099,gocepat_prod_0036,2,897816
gocepat_item_00180,gocepat,gocepat_ord_00100,gocepat_prod_0014,4,15333680
gocepat_item_00181,gocepat,gocepat_ord_00100,gocepat_prod_0005,4,1770596
gocepat_item_00182,gocepat,gocepat_ord_00100,gocepat_prod_0022,2,2573542
gocepat_item_00183,gocepat,gocepat_ord_00101,gocepat_prod_0009,2,506899
gocepat_item_00184,gocepat,gocepat_ord_00102,gocepat_prod_0019,4,13862320
gocepat_item_00185,gocepat,gocepat_ord_00103,gocepat_prod_0008,4,4454868
gocepat_item_00186,gocepat,gocepat_ord_00103,gocepat_prod_0040,3,13164543
gocepat_item_00187,gocepat,gocepat_ord_00103,gocepat_prod_0027,3,13382757
gocepat_item_00188,gocepat,gocepat_ord_00104,gocepat_prod_0003,4,4919928
gocepat_item_00189,gocepat,gocepat_ord_00105,gocepat_prod_0004,3,11005185
gocepat_item_00190,gocepat,gocepat_ord_00105,gocepat_prod_0026,2,5953420
gocepat_item_00191,gocepat,gocepat_ord_00105,gocepat_prod_0009,1,1689662
gocepat_item_00192,gocepat,gocepat_ord_00106,gocepat_prod_0014,2,7666840
gocepat_item_00193,gocepat,gocepat_ord_00107,gocepat_prod_0020,2,8197352
gocepat_item_00194,gocepat,gocepat_ord_00108,gocepat_prod_0025,1,2522662
gocepat_item_00195,gocepat,gocepat_ord_00109,gocepat_prod_0006,3,12323616
gocepat_item_00196,gocepat,gocepat_ord_00110,gocepat_prod_0024,2,8817434
gocepat_item_00197,gocepat,gocepat_ord_00110,gocepat_prod_0040,3,13164543
gocepat_item_00198,gocepat,gocepat_ord_00110,gocepat_prod_0008,1,1113717
gocepat_item_00199,gocepat,gocepat_ord_00111,gocepat_prod_0017,1,3516511
gocepat_item_00200,gocepat,gocepat_ord_00112,gocepat_prod_0020,4,16394704
gocepat_item_00201,gocepat,gocepat_ord_00113,gocepat_prod_0017,4,14066044
gocepat_item_00202,gocepat,gocepat_ord_00113,gocepat_prod_0002,1,3347657
gocepat_item_00203,gocepat,gocepat_ord_00114,gocepat_prod_0025,1,2522662
gocepat_item_00204,gocepat,gocepat_ord_00114,gocepat_prod_0032,3,7784289
gocepat_item_00205,gocepat,gocepat_ord_00115,gocepat_prod_0035,4,17901724
gocepat_item_00206,gocepat,gocepat_ord_00116,gocepat_prod_0019,1,3465580
gocepat_item_00207,gocepat,gocepat_ord_00116,gocepat_prod_0011,1,3268047
gocepat_item_00208,gocepat,gocepat_ord_00117,gocepat_prod_0004,2,7336790
gocepat_item_00209,gocepat,gocepat_ord_00118,gocepat_prod_0002,2,6695314
gocepat_item_00210,gocepat,gocepat_ord_00119,gocepat_prod_0039,2,1149732
gocepat_item_00211,gocepat,gocepat_ord_00119,gocepat_prod_0021,3,1342797
gocepat_item_00212,gocepat,gocepat_ord_00120,gocepat_prod_0031,4,4802704
gocepat_item_00213,gocepat,gocepat_ord_00120,gocepat_prod_0030,1,2165360
gocepat_item_00214,gocepat,gocepat_ord_00121,gocepat_prod_0031,2,2401352
gocepat_item_00215,gocepat,gocepat_ord_00122,gocepat_prod_0032,3,7784289
gocepat_item_00216,gocepat,gocepat_ord_00122,gocepat_prod_0022,2,2573542
gocepat_item_00217,gocepat,gocepat_ord_00122,gocepat_prod_0040,3,13164543
gocepat_item_00218,gocepat,gocepat_ord_00123,gocepat_prod_0004,2,1100519
gocepat_item_00219,gocepat,gocepat_ord_00123,gocepat_prod_0035,2,1342629
gocepat_item_00220,gocepat,gocepat_ord_00123,gocepat_prod_0040,3,1974681
gocepat_item_00221,gocepat,gocepat_ord_00124,gocepat_prod_0040,1,4388181
gocepat_item_00222,gocepat,gocepat_ord_00124,gocepat_prod_0022,4,5147084
gocepat_item_00223,gocepat,gocepat_ord_00124,gocepat_prod_0001,4,4874220
gocepat_item_00224,gocepat,gocepat_ord_00125,gocepat_prod_0001,1,1218555
gocepat_item_00225,gocepat,gocepat_ord_00125,gocepat_prod_0016,1,3818722
gocepat_item_00226,gocepat,gocepat_ord_00126,gocepat_prod_0005,3,1327947
gocepat_item_00227,gocepat,gocepat_ord_00126,gocepat_prod_0011,2,6536094
gocepat_item_00228,gocepat,gocepat_ord_00127,gocepat_prod_0001,3,3655665
gocepat_item_00229,gocepat,gocepat_ord_00127,gocepat_prod_0028,2,5237550
gocepat_item_00230,gocepat,gocepat_ord_00128,gocepat_prod_0018,4,13261992
gocepat_item_00231,gocepat,gocepat_ord_00128,gocepat_prod_0013,1,2489606
gocepat_item_00232,gocepat,gocepat_ord_00129,gocepat_prod_0031,3,3602028
gocepat_item_00233,gocepat,gocepat_ord_00129,gocepat_prod_0004,2,7336790
gocepat_item_00234,gocepat,gocepat_ord_00129,gocepat_prod_0024,4,17634868
gocepat_item_00235,gocepat,gocepat_ord_00130,gocepat_prod_0009,2,506899
gocepat_item_00236,gocepat,gocepat_ord_00131,gocepat_prod_0023,4,1397504
gocepat_item_00237,gocepat,gocepat_ord_00132,gocepat_prod_0012,1,469865
gocepat_item_00238,gocepat,gocepat_ord_00132,gocepat_prod_0040,2,1316454
gocepat_item_00239,gocepat,gocepat_ord_00133,gocepat_prod_0015,2,5864804
gocepat_item_00240,gocepat,gocepat_ord_00133,gocepat_prod_0031,4,4802704
gocepat_item_00241,gocepat,gocepat_ord_00134,gocepat_prod_0008,1,167058
gocepat_item_00242,gocepat,gocepat_ord_00135,gocepat_prod_0036,3,1346724
gocepat_item_00243,gocepat,gocepat_ord_00135,gocepat_prod_0030,2,649608
gocepat_item_00244,gocepat,gocepat_ord_00136,gocepat_prod_0006,3,12323616
gocepat_item_00245,gocepat,gocepat_ord_00136,gocepat_prod_0025,4,10090648
gocepat_item_00246,gocepat,gocepat_ord_00136,gocepat_prod_0002,1,3347657
gocepat_item_00247,gocepat,gocepat_ord_00137,gocepat_prod_0013,2,4979212
gocepat_item_00248,gocepat,gocepat_ord_00137,gocepat_prod_0007,1,2229921
gocepat_item_00249,gocepat,gocepat_ord_00138,gocepat_prod_0033,4,16305456
gocepat_item_00250,gocepat,gocepat_ord_00139,gocepat_prod_0018,2,994649
gocepat_item_00251,gocepat,gocepat_ord_00139,gocepat_prod_0037,3,1136213
gocepat_item_00252,gocepat,gocepat_ord_00140,gocepat_prod_0017,4,14066044
gocepat_item_00253,gocepat,gocepat_ord_00140,gocepat_prod_0038,4,9596204
gocepat_item_00254,gocepat,gocepat_ord_00141,gocepat_prod_0011,3,9804141
gocepat_item_00255,gocepat,gocepat_ord_00141,gocepat_prod_0008,3,3341151
gocepat_item_00256,gocepat,gocepat_ord_00142,gocepat_prod_0032,3,7784289
gocepat_item_00257,gocepat,gocepat_ord_00142,gocepat_prod_0006,3,12323616
gocepat_item_00258,gocepat,gocepat_ord_00142,gocepat_prod_0036,2,5985438
gocepat_item_00259,gocepat,gocepat_ord_00143,gocepat_prod_0026,4,11906840
gocepat_item_00260,gocepat,gocepat_ord_00144,gocepat_prod_0038,3,7197153
gocepat_item_00261,gocepat,gocepat_ord_00144,gocepat_prod_0015,2,5864804
gocepat_item_00262,gocepat,gocepat_ord_00144,gocepat_prod_0040,1,4388181
gocepat_item_00263,gocepat,gocepat_ord_00145,gocepat_prod_0027,4,17843676
gocepat_item_00264,gocepat,gocepat_ord_00145,gocepat_prod_0035,3,13426293
gocepat_item_00265,gocepat,gocepat_ord_00146,gocepat_prod_0019,4,13862320
gocepat_item_00266,gocepat,gocepat_ord_00146,gocepat_prod_0025,1,2522662
gocepat_item_00267,gocepat,gocepat_ord_00147,gocepat_prod_0008,4,4454868
gocepat_item_00268,gocepat,gocepat_ord_00148,gocepat_prod_0001,2,365567
gocepat_item_00269,gocepat,gocepat_ord_00148,gocepat_prod_0003,1,184497
gocepat_item_00270,gocepat,gocepat_ord_00149,gocepat_prod_0012,3,9397302
gocepat_item_00271,gocepat,gocepat_ord_00150,gocepat_prod_0033,2,8152728
gocepat_item_00272,gocepat,gocepat_ord_00150,gocepat_prod_0036,1,2992719
gocepat_item_00273,gocepat,gocepat_ord_00150,gocepat_prod_0021,2,5967988
gocepat_item_00274,gocepat,gocepat_ord_00151,gocepat_prod_0007,3,6689763
gocepat_item_00275,gocepat,gocepat_ord_00152,gocepat_prod_0030,2,4330720
gocepat_item_00276,gocepat,gocepat_ord_00153,gocepat_prod_0011,1,3268047
gocepat_item_00277,gocepat,gocepat_ord_00154,gocepat_prod_0033,1,4076364
gocepat_item_00278,gocepat,gocepat_ord_00154,gocepat_prod_0002,4,13390628
gocepat_item_00279,gocepat,gocepat_ord_00155,gocepat_prod_0017,1,3516511
gocepat_item_00280,gocepat,gocepat_ord_00155,gocepat_prod_0018,3,9946494
gocepat_item_00281,gocepat,gocepat_ord_00156,gocepat_prod_0002,1,3347657
gocepat_item_00282,gocepat,gocepat_ord_00156,gocepat_prod_0028,4,10475100
gocepat_item_00283,gocepat,gocepat_ord_00157,gocepat_prod_0005,4,1770596
gocepat_item_00284,gocepat,gocepat_ord_00158,gocepat_prod_0030,1,324804
gocepat_item_00285,gocepat,gocepat_ord_00158,gocepat_prod_0012,4,1879460
gocepat_item_00286,gocepat,gocepat_ord_00159,gocepat_prod_0031,2,360203
gocepat_item_00287,gocepat,gocepat_ord_00160,gocepat_prod_0012,4,12529736
gocepat_item_00288,gocepat,gocepat_ord_00160,gocepat_prod_0036,2,5985438
gocepat_item_00289,gocepat,gocepat_ord_00160,gocepat_prod_0014,2,7666840
gocepat_item_00290,gocepat,gocepat_ord_00161,gocepat_prod_0003,4,4919928
gocepat_item_00291,gocepat,gocepat_ord_00161,gocepat_prod_0008,3,3341151
gocepat_item_00292,gocepat,gocepat_ord_00162,gocepat_prod_0039,3,11497323
gocepat_item_00293,gocepat,gocepat_ord_00162,gocepat_prod_0033,4,16305456
gocepat_item_00294,gocepat,gocepat_ord_00162,gocepat_prod_0025,3,7567986
gocepat_item_00295,gocepat,gocepat_ord_00163,gocepat_prod_0014,1,575013
gocepat_item_00296,gocepat,gocepat_ord_00164,gocepat_prod_0002,4,13390628
gocepat_item_00297,gocepat,gocepat_ord_00164,gocepat_prod_0038,1,2399051
gocepat_item_00298,gocepat,gocepat_ord_00164,gocepat_prod_0009,1,1689662
gocepat_item_00299,gocepat,gocepat_ord_00165,gocepat_prod_0029,3,9369189
gocepat_item_00300,gocepat,gocepat_ord_00165,gocepat_prod_0001,4,4874220
gocepat_item_00301,gocepat,gocepat_ord_00166,gocepat_prod_0010,1,29637
gocepat_item_00302,gocepat,gocepat_ord_00167,gocepat_prod_0005,3,1327947
gocepat_item_00303,gocepat,gocepat_ord_00168,gocepat_prod_0016,3,11456166
gocepat_item_00304,gocepat,gocepat_ord_00168,gocepat_prod_0027,4,17843676
gocepat_item_00305,gocepat,gocepat_ord_00169,gocepat_prod_0013,4,1493764
gocepat_item_00306,gocepat,gocepat_ord_00169,gocepat_prod_0017,3,1582430
gocepat_item_00307,gocepat,gocepat_ord_00169,gocepat_prod_0009,2,506899
gocepat_item_00308,gocepat,gocepat_ord_00170,gocepat_prod_0005,2,885298
gocepat_item_00309,gocepat,gocepat_ord_00170,gocepat_prod_0036,1,2992719
gocepat_item_00310,gocepat,gocepat_ord_00171,gocepat_prod_0040,3,13164543
gocepat_item_00311,gocepat,gocepat_ord_00171,gocepat_prod_0031,4,4802704
gocepat_item_00312,gocepat,gocepat_ord_00172,gocepat_prod_0020,2,8197352
gocepat_item_00313,gocepat,gocepat_ord_00172,gocepat_prod_0018,2,6630996
gocepat_item_00314,gocepat,gocepat_ord_00173,gocepat_prod_0016,2,1145617
gocepat_item_00315,gocepat,gocepat_ord_00173,gocepat_prod_0039,1,574866
gocepat_item_00316,gocepat,gocepat_ord_00173,gocepat_prod_0028,1,392816
gocepat_item_00317,gocepat,gocepat_ord_00174,gocepat_prod_0027,3,13382757
gocepat_item_00318,gocepat,gocepat_ord_00174,gocepat_prod_0006,1,4107872
gocepat_item_00319,gocepat,gocepat_ord_00175,gocepat_prod_0007,4,8919684
gocepat_item_00320,gocepat,gocepat_ord_00175,gocepat_prod_0009,2,3379324
gocepat_item_00321,gocepat,gocepat_ord_00176,gocepat_prod_0039,4,15329764
gocepat_item_00322,gocepat,gocepat_ord_00176,gocepat_prod_0006,1,4107872
gocepat_item_00323,gocepat,gocepat_ord_00176,gocepat_prod_0005,2,885298
gocepat_item_00324,gocepat,gocepat_ord_00177,gocepat_prod_0016,2,1145617
gocepat_item_00325,gocepat,gocepat_ord_00177,gocepat_prod_0035,4,2685259
