seller_id,company_id,seller_name,seller_tier,region,onboarded_at
tokoraya_cust_0055,tokoraya,UD Karya Bangsa 55,UMKM,Jawa,2024-06-08
tokoraya_cust_0056,tokoraya,Warung Pangan Sehat 56,UMKM,Sumatera,2024-03-24
tokoraya_cust_0057,tokoraya,UD Sumber Rejeki 57,Korporasi,Jawa,2024-06-26
tokoraya_cust_0058,tokoraya,PT Berkah Mandiri 58,Menengah,Jawa,2024-09-15
tokoraya_cust_0059,tokoraya,Warung Laut Biru 59,Korporasi,Jabodetabek,2024-05-24
tokoraya_cust_0060,tokoraya,CV Elektronik Ceria 60,Korporasi,Jabodetabek,2024-04-20
tokoraya_cust_0061,tokoraya,PT Batik Cantik 61,UMKM,Sumatera,2024-11-10
tokoraya_cust_0062,tokoraya,UD Pangan Sehat 62,Menengah,Jabodetabek,2024-04-08
tokoraya_cust_0063,tokoraya,UD Rumah Nyaman 63,Menengah,Jawa,2024-02-22
tokoraya_cust_0064,tokoraya,CV Citra Sejahtera 64,Korporasi,Jabodetabek,2024-01-10
tokoraya_cust_0065,tokoraya,UD Nusantara Digital 65,Menengah,Indonesia Timur,2024-11-10
tokoraya_cust_0066,tokoraya,UD Pangan Sehat 66,UMKM,Sumatera,2024-05-06
tokoraya_cust_0067,tokoraya,Warung Karya Bangsa 67,Korporasi,Jabodetabek,2024-10-13
tokoraya_cust_0068,tokoraya,Toko Laut Biru 68,UMKM,Jawa,2024-03-05
tokoraya_cust_0069,tokoraya,UD Batik Cantik 69,UMKM,Jabodetabek,2024-03-04
tokoraya_cust_0070,tokoraya,UD Nusantara Digital 70,Korporasi,Sumatera,2024-12-15
tokoraya_cust_0071,tokoraya,CV Gunung Mas 71,Menengah,Indonesia Timur,2024-04-02
tokoraya_cust_0072,tokoraya,PT Batik Cantik 72,Korporasi,Indonesia Timur,2024-11-13
tokoraya_cust_0073,tokoraya,PT Fashion Lokal 73,Korporasi,Sumatera,2024-11-03
tokoraya_cust_0074,tokoraya,Toko Laut Biru 74,Menengah,Jabodetabek,2024-07-18
tokoraya_cust_0075,tokoraya,CV Pangan Sehat 75,UMKM,Jabodetabek,2024-10-10
tokoraya_cust_0076,tokoraya,Toko Nusantara Digital 76,Menengah,Indonesia Timur,2024-06-08
tokoraya_cust_0077,tokoraya,Toko Nusantara Digital 77,Menengah,Indonesia Timur,2024-06-08
tokoraya_cust_0078,tokoraya,UD Rasa Nusantara 78,Korporasi,Sumatera,2024-11-22
tokoraya_cust_0079,tokoraya,Toko Indah Makmur 79,Menengah,Jabodetabek,2024-07-14
tokoraya_cust_0080,tokoraya,PT Laut Biru 80,Menengah,Jawa,2024-01-20
tokoraya_cust_0081,tokoraya,CV Batik Cantik 81,Menengah,Jabodetabek,2024-09-27
tokoraya_cust_0082,tokoraya,Toko Sumber Rejeki 82,Menengah,Indonesia Timur,2024-01-16
tokoraya_cust_0083,tokoraya,Toko Rumah Nyaman 83,UMKM,Jawa,2024-02-21
tokoraya_cust_0084,tokoraya,PT Pangan Sehat 84,Menengah,Indonesia Timur,2024-01-26
tokoraya_cust_0085,tokoraya,Warung Laut Biru 85,UMKM,Jawa,2024-07-18
tokoraya_cust_0086,tokoraya,Warung Rasa Nusantara 86,UMKM,Indonesia Timur,2024-12-23
tokoraya_cust_0087,tokoraya,Toko Elektronik Ceria 87,Korporasi,Jabodetabek,2024-12-01
tokoraya_cust_0088,tokoraya,Toko Rumah Nyaman 88,UMKM,Sumatera,2024-04-24
tokoraya_cust_0089,tokoraya,UD Maju Jaya 89,Korporasi,Sumatera,2024-02-11
tokoraya_cust_0090,tokoraya,UD Fashion Lokal 90,Korporasi,Jabodetabek,2024-08-11
tokoraya_cust_0091,tokoraya,UD Elektronik Ceria 91,UMKM,Jawa,2024-09-01
tokoraya_cust_0092,tokoraya,CV Rasa Nusantara 92,Menengah,Jawa,2024-11-14
tokoraya_cust_0093,tokoraya,Warung Berkah Mandiri 93,Korporasi,Sumatera,2024-06-15
tokoraya_cust_0094,tokoraya,Toko Tekno Rimba 94,Korporasi,Sumatera,2024-08-23
tokoraya_cust_0095,tokoraya,Warung Berkah Mandiri 95,Menengah,Indonesia Timur,2024-08-05
tokoraya_cust_0096,tokoraya,UD Elektronik Ceria 96,UMKM,Sumatera,2024-07-16
tokoraya_cust_0097,tokoraya,Warung Nusantara Digital 97,Korporasi,Indonesia Timur,2024-01-03
tokoraya_cust_0098,tokoraya,UD Nusantara Digital 98,Menengah,Jabodetabek,2024-01-21
tokoraya_cust_0099,tokoraya,UD Laut Biru 99,UMKM,Jawa,2024-05-06
tokoraya_cust_0100,tokoraya,Toko Sumber Rejeki 100,Menengah,Jabodetabek,2024-08-24
tokoraya_cust_0101,tokoraya,PT Gunung Mas 101,Menengah,Sumatera,2024-08-06
tokoraya_cust_0102,tokoraya,Toko Tekno Rimba 102,Korporasi,Sumatera,2024-12-27
tokoraya_cust_0103,tokoraya,UD Anugerah Prima 103,Menengah,Jawa,2024-12-25
tokoraya_cust_0104,tokoraya,PT Anugerah Prima 104,Menengah,Indonesia Timur,2024-12-07
tokoraya_cust_0105,tokoraya,UD Batik Cantik 105,Menengah,Indonesia Timur,2024-12-01
tokoraya_cust_0106,tokoraya,Warung Anugerah Prima 106,Korporasi,Indonesia Timur,2024-12-07
tokoraya_cust_0107,tokoraya,Warung Batik Cantik 107,Menengah,Sumatera,2024-03-09
tokoraya_cust_0108,tokoraya,PT Tekno Rimba 108,Menengah,Jawa,2024-05-13
tokoraya_cust_0109,tokoraya,Toko Elektronik Ceria 109,Menengah,Indonesia Timur,2024-07-25
tokoraya_cust_0110,tokoraya,UD Batik Cantik 110,Menengah,Jawa,2024-06-17
tokoraya_cust_0111,tokoraya,CV Anugerah Prima 111,Korporasi,Jawa,2024-01-20
tokoraya_cust_0112,tokoraya,PT Indah Makmur 112,Korporasi,Jabodetabek,2024-08-08
tokoraya_cust_0113,tokoraya,CV Batik Cantik 113,Korporasi,Sumatera,2024-09-07
tokoraya_cust_0114,tokoraya,Warung Maju Jaya 114,Menengah,Jawa,2024-08-14
tokoraya_cust_0115,tokoraya,Warung Indah Makmur 115,Menengah,Jabodetabek,2024-11-25
tokoraya_cust_0116,tokoraya,Warung Sumber Rejeki 116,Menengah,Jabodetabek,2024-08-22
tokoraya_cust_0117,tokoraya,PT Nusantara Digital 117,Korporasi,Jawa,2024-11-17
tokoraya_cust_0118,tokoraya,Toko Fashion Lokal 118,Korporasi,Indonesia Timur,2024-07-15
tokoraya_cust_0119,tokoraya,Warung Maju Jaya 119,UMKM,Sumatera,2024-07-26
tokoraya_cust_0120,tokoraya,Toko Sumber Rejeki 120,UMKM,Jabodetabek,2024-05-20
tokoraya_cust_0121,tokoraya,Warung Elektronik Ceria 121,Menengah,Jawa,2024-05-19
tokoraya_cust_0122,tokoraya,UD Tekno Rimba 122,Menengah,Jabodetabek,2024-06-15
tokoraya_cust_0123,tokoraya,PT Berkah Mandiri 123,UMKM,Jawa,2024-03-13
tokoraya_cust_0124,tokoraya,Toko Indah Makmur 124,Korporasi,Jabodetabek,2024-05-22
tokoraya_cust_0125,tokoraya,CV Gunung Mas 125,UMKM,Jawa,2024-09-13
tokoraya_cust_0126,tokoraya,Warung Mitra Dagang 126,Menengah,Jawa,2024-04-04
tokoraya_cust_0127,tokoraya,Toko Maju Jaya 127,UMKM,Jabodetabek,2024-01-22
tokoraya_cust_0128,tokoraya,CV Fashion Lokal 128,UMKM,Sumatera,2024-03-24
tokoraya_cust_0129,tokoraya,PT Mitra Dagang 129,Menengah,Jawa,2024-01-12
tokoraya_cust_0130,tokoraya,UD Citra Sejahtera 130,Menengah,Jawa,2024-01-27
tokoraya_cust_0131,tokoraya,Warung Elektronik Ceria 131,Korporasi,Jabodetabek,2024-09-23
tokoraya_cust_0132,tokoraya,Warung Citra Sejahtera 132,Korporasi,Indonesia Timur,2024-09-15
tokoraya_cust_0133,tokoraya,CV Sinar Abadi 133,UMKM,Jabodetabek,2024-11-27
tokoraya_cust_0134,tokoraya,PT Batik Cantik 134,UMKM,Jabodetabek,2024-09-18
tokoraya_cust_0135,tokoraya,CV Pangan Sehat 135,UMKM,Sumatera,2024-01-24
tokoraya_cust_0136,tokoraya,Warung Tekno Rimba 136,Korporasi,Jawa,2024-04-26
tokoraya_cust_0137,tokoraya,Warung Anugerah Prima 137,Korporasi,Jabodetabek,2024-10-02
tokoraya_cust_0138,tokoraya,CV Bumi Lestari 138,UMKM,Indonesia Timur,2024-10-05
tokoraya_cust_0139,tokoraya,UD Tekno Rimba 139,Menengah,Jabodetabek,2024-07-17
tokoraya_cust_0140,tokoraya,Toko Rasa Nusantara 140,UMKM,Jabodetabek,2024-09-18
tokoraya_cust_0141,tokoraya,PT Citra Sejahtera 141,Menengah,Jabodetabek,2024-02-27
tokoraya_cust_0142,tokoraya,Toko Mitra Dagang 142,Menengah,Sumatera,2024-07-12
tokoraya_cust_0143,tokoraya,UD Batik Cantik 143,UMKM,Jawa,2024-01-18
tokoraya_cust_0144,tokoraya,PT Indah Makmur 144,UMKM,Indonesia Timur,2024-06-22
tokoraya_cust_0145,tokoraya,Warung Sumber Rejeki 145,Menengah,Sumatera,2024-03-28
tokoraya_cust_0146,tokoraya,Warung Bumi Lestari 146,UMKM,Indonesia Timur,2024-02-14
tokoraya_cust_0147,tokoraya,CV Fashion Lokal 147,UMKM,Jawa,2024-05-21
tokoraya_cust_0148,tokoraya,CV Bumi Lestari 148,UMKM,Jabodetabek,2024-09-13
tokoraya_cust_0149,tokoraya,UD Berkah Mandiri 149,Korporasi,Jawa,2024-03-01
tokoraya_cust_0150,tokoraya,UD Pangan Sehat 150,Korporasi,Jawa,2024-10-03
tokoraya_cust_0151,tokoraya,CV Karya Bangsa 151,Menengah,Jawa,2024-08-17
tokoraya_cust_0152,tokoraya,CV Tekno Rimba 152,UMKM,Indonesia Timur,2024-08-14
tokoraya_cust_0153,tokoraya,CV Laut Biru 153,Korporasi,Indonesia Timur,2024-05-12
tokoraya_cust_0154,tokoraya,Toko Fashion Lokal 154,Korporasi,Jawa,2024-08-23
tokoraya_cust_0155,tokoraya,CV Elektronik Ceria 155,UMKM,Indonesia Timur,2024-08-15
tokoraya_cust_0156,tokoraya,PT Gunung Mas 156,Korporasi,Jawa,2024-08-01
tokoraya_cust_0157,tokoraya,Warung Indah Makmur 157,Korporasi,Jabodetabek,2024-03-11
tokoraya_cust_0158,tokoraya,Warung Mitra Dagang 158,UMKM,Sumatera,2024-10-08
tokoraya_cust_0159,tokoraya,Warung Indah Makmur 159,Korporasi,Jawa,2024-09-22
tokoraya_cust_0160,tokoraya,Warung Karya Bangsa 160,Menengah,Jawa,2024-08-08
tokoraya_cust_0161,tokoraya,Toko Fashion Lokal 161,Menengah,Sumatera,2024-07-26
tokoraya_cust_0162,tokoraya,Warung Citra Sejahtera 162,Korporasi,Indonesia Timur,2024-11-21
tokoraya_cust_0163,tokoraya,Warung Sumber Rejeki 163,UMKM,Jabodetabek,2024-05-16
tokoraya_cust_0164,tokoraya,Warung Fashion Lokal 164,Menengah,Jawa,2024-01-09
tokoraya_cust_0165,tokoraya,Warung Bumi Lestari 165,Menengah,Sumatera,2024-03-03
tokoraya_cust_0166,tokoraya,CV Citra Sejahtera 166,UMKM,Jawa,2024-08-07
tokoraya_cust_0167,tokoraya,CV Karya Bangsa 167,UMKM,Jabodetabek,2024-12-18
tokoraya_cust_0168,tokoraya,CV Indah Makmur 168,Menengah,Jabodetabek,2024-06-17
tokoraya_cust_0169,tokoraya,UD Rasa Nusantara 169,Menengah,Jawa,2024-08-07
tokoraya_cust_0170,tokoraya,Warung Maju Jaya 170,Korporasi,Sumatera,2024-04-05
tokoraya_cust_0171,tokoraya,Toko Maju Jaya 171,UMKM,Sumatera,2024-04-01
tokoraya_cust_0172,tokoraya,Toko Pangan Sehat 172,Menengah,Indonesia Timur,2024-03-18
tokoraya_cust_0173,tokoraya,Warung Karya Bangsa 173,UMKM,Indonesia Timur,2024-03-01
tokoraya_cust_0174,tokoraya,Warung Indah Makmur 174,Korporasi,Sumatera,2024-04-07
tokoraya_cust_0175,tokoraya,UD Fashion Lokal 175,Korporasi,Jabodetabek,2024-08-21
tokoraya_cust_0176,tokoraya,Warung Mitra Dagang 176,UMKM,Jawa,2024-11-20
tokoraya_cust_0177,tokoraya,CV Fashion Lokal 177,Korporasi,Jabodetabek,2024-07-18
tokoraya_cust_0178,tokoraya,UD Maju Jaya 178,UMKM,Indonesia Timur,2024-12-07
tokoraya_cust_0179,tokoraya,UD Gunung Mas 179,Menengah,Jawa,2024-08-28
tokoraya_cust_0180,tokoraya,UD Rumah Nyaman 180,UMKM,Indonesia Timur,2024-10-25
tokoraya_cust_0181,tokoraya,CV Gunung Mas 181,Menengah,Jawa,2024-01-11
tokoraya_cust_0182,tokoraya,CV Nusantara Digital 182,UMKM,Jabodetabek,2024-03-22
tokoraya_cust_0183,tokoraya,CV Anugerah Prima 183,Korporasi,Jabodetabek,2024-12-28
tokoraya_cust_0184,tokoraya,PT Tekno Rimba 184,UMKM,Indonesia Timur,2024-03-10
tokoraya_cust_0185,tokoraya,UD Gunung Mas 185,UMKM,Indonesia Timur,2024-10-24
tokoraya_cust_0186,tokoraya,Warung Berkah Mandiri 186,Korporasi,Jabodetabek,2024-05-07
tokoraya_cust_0187,tokoraya,Warung Gunung Mas 187,UMKM,Sumatera,2024-05-26
tokoraya_cust_0188,tokoraya,Toko Rasa Nusantara 188,Korporasi,Jabodetabek,2024-07-25
tokoraya_cust_0189,tokoraya,PT Batik Cantik 189,Korporasi,Jabodetabek,2024-08-11
tokoraya_cust_0190,tokoraya,PT Citra Sejahtera 190,Korporasi,Indonesia Timur,2024-01-01
tokoraya_cust_0191,tokoraya,CV Pangan Sehat 191,UMKM,Indonesia Timur,2024-05-14
tokoraya_cust_0192,tokoraya,Toko Fashion Lokal 192,Korporasi,Jabodetabek,2024-09-14
tokoraya_cust_0193,tokoraya,UD Sinar Abadi 193,Korporasi,Sumatera,2024-11-15
tokoraya_cust_0194,tokoraya,CV Citra Sejahtera 194,Menengah,Jabodetabek,2024-12-10
tokoraya_cust_0195,tokoraya,Toko Maju Jaya 195,Menengah,Jawa,2024-05-15
tokoraya_cust_0196,tokoraya,CV Citra Sejahtera 196,UMKM,Jawa,2024-02-01
tokoraya_cust_0197,tokoraya,Toko Batik Cantik 197,UMKM,Jawa,2024-11-18
tokoraya_cust_0198,tokoraya,Warung Pangan Sehat 198,UMKM,Jabodetabek,2024-03-20
tokoraya_cust_0199,tokoraya,CV Indah Makmur 199,Menengah,Sumatera,2024-08-16
tokoraya_cust_0200,tokoraya,Toko Anugerah Prima 200,Menengah,Jabodetabek,2024-06-04
tokoraya_cust_0201,tokoraya,UD Nusantara Digital 201,Menengah,Jabodetabek,2024-04-07
tokoraya_cust_0202,tokoraya,PT Tekno Rimba 202,UMKM,Jawa,2024-08-13
tokoraya_cust_0203,tokoraya,Toko Sumber Rejeki 203,Korporasi,Jabodetabek,2024-10-07
tokoraya_cust_0204,tokoraya,UD Mitra Dagang 204,Menengah,Indonesia Timur,2024-06-24
tokoraya_cust_0205,tokoraya,UD Rasa Nusantara 205,UMKM,Jabodetabek,2024-12-27
tokoraya_cust_0206,tokoraya,Warung Gunung Mas 206,Korporasi,Sumatera,2024-03-04
tokoraya_cust_0207,tokoraya,Warung Anugerah Prima 207,Menengah,Jawa,2024-04-17
tokoraya_cust_0208,tokoraya,PT Pangan Sehat 208,UMKM,Jawa,2024-11-21
tokoraya_cust_0209,tokoraya,Toko Bumi Lestari 209,Korporasi,Indonesia Timur,2024-02-02
tokoraya_cust_0210,tokoraya,Warung Anugerah Prima 210,UMKM,Indonesia Timur,2024-08-02
tokoraya_cust_0211,tokoraya,UD Rasa Nusantara 211,Korporasi,Sumatera,2024-06-23
tokoraya_cust_0212,tokoraya,CV Karya Bangsa 212,Korporasi,Jawa,2024-02-14
tokoraya_cust_0213,tokoraya,UD Bumi Lestari 213,Menengah,Sumatera,2024-12-18
tokoraya_cust_0214,tokoraya,PT Nusantara Digital 214,Korporasi,Jabodetabek,2024-01-22
tokoraya_cust_0215,tokoraya,PT Gunung Mas 215,Korporasi,Jabodetabek,2024-06-13
tokoraya_cust_0216,tokoraya,PT Fashion Lokal 216,Menengah,Indonesia Timur,2024-06-11
tokoraya_cust_0217,tokoraya,PT Berkah Mandiri 217,Korporasi,Sumatera,2024-02-03
tokoraya_cust_0218,tokoraya,Toko Karya Bangsa 218,UMKM,Sumatera,2024-05-06
tokoraya_cust_0219,tokoraya,Toko Maju Jaya 219,Korporasi,Jabodetabek,2024-06-27
tokoraya_cust_0220,tokoraya,Toko Sumber Rejeki 220,UMKM,Jabodetabek,2024-07-28
tokoraya_cust_0221,tokoraya,PT Rumah Nyaman 221,Korporasi,Jawa,2024-10-19
tokoraya_cust_0222,tokoraya,UD Citra Sejahtera 222,Menengah,Indonesia Timur,2024-06-08
tokoraya_cust_0223,tokoraya,Warung Berkah Mandiri 223,Menengah,Jabodetabek,2024-12-11
tokoraya_cust_0224,tokoraya,CV Pangan Sehat 224,Menengah,Indonesia Timur,2024-05-12
tokoraya_cust_0225,tokoraya,PT Maju Jaya 225,UMKM,Indonesia Timur,2024-06-02
tokoraya_cust_0226,tokoraya,UD Gunung Mas 226,Menengah,Indonesia Timur,2024-01-22
tokoraya_cust_0227,tokoraya,PT Karya Bangsa 227,Menengah,Jawa,2024-09-25
tokoraya_cust_0228,tokoraya,Toko Berkah Mandiri 228,Menengah,Jawa,2024-12-22
tokoraya_cust_0229,tokoraya,Toko Fashion Lokal 229,Korporasi,Jawa,2024-11-27
tokoraya_cust_0230,tokoraya,PT Berkah Mandiri 230,Korporasi,Jawa,2024-09-16
tokoraya_cust_0231,tokoraya,Toko Anugerah Prima 231,Korporasi,Sumatera,2024-12-27
tokoraya_cust_0232,tokoraya,CV Sinar Abadi 232,Menengah,Jawa,2024-04-08
tokoraya_cust_0233,tokoraya,PT Rumah Nyaman 233,Korporasi,Indonesia Timur,2024-06-03
tokoraya_cust_0234,tokoraya,Toko Gunung Mas 234,Menengah,Jawa,2024-08-27
tokoraya_cust_0235,tokoraya,PT Rumah Nyaman 235,Menengah,Sumatera,2024-01-09
tokoraya_cust_0236,tokoraya,CV Tekno Rimba 236,UMKM,Indonesia Timur,2024-07-08
tokoraya_cust_0237,tokoraya,PT Anugerah Prima 237,Korporasi,Sumatera,2024-12-27
tokoraya_cust_0238,tokoraya,Warung Fashion Lokal 238,Menengah,Indonesia Timur,2024-03-01
tokoraya_cust_0239,tokoraya,CV Bumi Lestari 239,Korporasi,Indonesia Timur,2024-04-09
tokoraya_cust_0240,tokoraya,PT Berkah Mandiri 240,Korporasi,Indonesia Timur,2024-05-04
tokoraya_cust_0241,tokoraya,UD Citra Sejahtera 241,UMKM,Jabodetabek,2024-04-09
tokoraya_cust_0242,tokoraya,Warung Pangan Sehat 242,Menengah,Indonesia Timur,2024-09-04
tokoraya_cust_0243,tokoraya,PT Maju Jaya 243,UMKM,Jabodetabek,2024-08-03
tokoraya_cust_0244,tokoraya,PT Anugerah Prima 244,UMKM,Indonesia Timur,2024-05-21
tokoraya_cust_0245,tokoraya,UD Indah Makmur 245,UMKM,Jabodetabek,2024-04-09
tokoraya_cust_0246,tokoraya,UD Gunung Mas 246,Korporasi,Jawa,2024-08-17
tokoraya_cust_0247,tokoraya,PT Elektronik Ceria 247,Korporasi,Jabodetabek,2024-06-20
tokoraya_cust_0248,tokoraya,Warung Berkah Mandiri 248,UMKM,Sumatera,2024-08-16
tokoraya_cust_0249,tokoraya,Warung Pangan Sehat 249,UMKM,Jabodetabek,2024-02-28
tokoraya_cust_0250,tokoraya,PT Rumah Nyaman 250,UMKM,Jabodetabek,2024-11-06
tokoraya_cust_0251,tokoraya,CV Berkah Mandiri 251,Korporasi,Jawa,2024-08-11
tokoraya_cust_0252,tokoraya,CV Bumi Lestari 252,UMKM,Indonesia Timur,2024-01-25
tokoraya_cust_0253,tokoraya,PT Rasa Nusantara 253,UMKM,Indonesia Timur,2024-07-26
tokoraya_cust_0254,tokoraya,Warung Pangan Sehat 254,UMKM,Indonesia Timur,2024-03-23
tokoraya_cust_0255,tokoraya,Warung Nusantara Digital 255,Korporasi,Sumatera,2024-02-24
tokoraya_cust_0256,tokoraya,PT Laut Biru 256,Menengah,Sumatera,2024-07-20
tokoraya_cust_0257,tokoraya,PT Indah Makmur 257,Menengah,Jawa,2024-03-03
tokoraya_cust_0258,tokoraya,UD Nusantara Digital 258,Menengah,Jabodetabek,2024-10-04
tokoraya_cust_0259,tokoraya,CV Bumi Lestari 259,UMKM,Jabodetabek,2024-01-22
tokoraya_cust_0260,tokoraya,UD Laut Biru 260,Menengah,Jawa,2024-07-28
tokoraya_cust_0261,tokoraya,UD Rumah Nyaman 261,Menengah,Jawa,2024-06-03
tokoraya_cust_0262,tokoraya,CV Maju Jaya 262,Korporasi,Jabodetabek,2024-12-23
tokoraya_cust_0263,tokoraya,PT Rasa Nusantara 263,UMKM,Sumatera,2024-06-23
tokoraya_cust_0264,tokoraya,UD Gunung Mas 264,Korporasi,Jawa,2024-12-28
tokoraya_cust_0265,tokoraya,Warung Citra Sejahtera 265,Menengah,Sumatera,2024-01-08
tokoraya_cust_0266,tokoraya,Warung Pangan Sehat 266,UMKM,Sumatera,2024-08-05
tokoraya_cust_0267,tokoraya,Toko Nusantara Digital 267,UMKM,Indonesia Timur,2024-03-25
tokoraya_cust_0268,tokoraya,Toko Anugerah Prima 268,Menengah,Jabodetabek,2024-11-08
tokoraya_cust_0269,tokoraya,PT Sinar Abadi 269,Korporasi,Sumatera,2024-04-15
tokoraya_cust_0270,tokoraya,UD Sumber Rejeki 270,UMKM,Jabodetabek,2024-02-05
tokoraya_cust_0271,tokoraya,UD Sinar Abadi 271,Korporasi,Jawa,2024-08-19
tokoraya_cust_0272,tokoraya,PT Sumber Rejeki 272,UMKM,Sumatera,2024-02-23
tokoraya_cust_0273,tokoraya,Toko Sumber Rejeki 273,Menengah,Jawa,2024-04-02
tokoraya_cust_0274,tokoraya,UD Pangan Sehat 274,Menengah,Sumatera,2024-12-17
