traveler_id,company_id,traveler_name,traveler_segment,origin_region,member_since
jelajahid_cust_0049,jelajahid,PT Indah Makmur 49,UMKM,Jabodetabek,2024-04-18
jelajahid_cust_0050,jelajahid,Warung Batik Cantik 50,Korporasi,Jabodetabek,2024-04-11
jelajahid_cust_0051,jelajahid,Toko Berkah Mandiri 51,Menengah,Sumatera,2024-07-14
jelajahid_cust_0052,jelajahid,UD Batik Cantik 52,Menengah,Sumatera,2024-01-11
jelajahid_cust_0053,jelajahid,CV Rumah Nyaman 53,Menengah,Indonesia Timur,2024-10-11
jelajahid_cust_0054,jelajahid,CV Karya Bangsa 54,UMKM,Indonesia Timur,2024-05-19
jelajahid_cust_0055,jelajahid,CV Pangan Sehat 55,UMKM,Sumatera,2024-09-02
jelajahid_cust_0056,jelajahid,CV Mitra Dagang 56,Menengah,Jawa,2024-09-13
jelajahid_cust_0057,jelajahid,PT Sumber Rejeki 57,Korporasi,Jabodetabek,2024-02-14
jelajahid_cust_0058,jelajahid,CV Laut Biru 58,Menengah,Jawa,2024-02-08
jelajahid_cust_0059,jelajahid,Warung Anugerah Prima 59,UMKM,Indonesia Timur,2024-08-11
jelajahid_cust_0060,jelajahid,Toko Nusantara Digital 60,Menengah,Sumatera,2024-07-18
jelajahid_cust_0061,jelajahid,UD Sumber Rejeki 61,Menengah,Sumatera,2024-10-12
jelajahid_cust_0062,jelajahid,CV Laut Biru 62,Korporasi,Jabodetabek,2024-11-13
jelajahid_cust_0063,jelajahid,PT Sumber Rejeki 63,Korporasi,Jabodetabek,2024-01-04
jelajahid_cust_0064,jelajahid,Warung Gunung Mas 64,Korporasi,Jawa,2024-11-02
jelajahid_cust_0065,jelajahid,Warung Tekno Rimba 65,Menengah,Jawa,2024-06-02
jelajahid_cust_0066,jelajahid,Toko Rumah Nyaman 66,UMKM,Jawa,2024-04-25
jelajahid_cust_0067,jelajahid,UD Elektronik Ceria 67,Korporasi,Jawa,2024-12-06
jelajahid_cust_0068,jelajahid,UD Mitra Dagang 68,Menengah,Indonesia Timur,2024-06-21
jelajahid_cust_0069,jelajahid,PT Anugerah Prima 69,UMKM,Jawa,2024-12-19
jelajahid_cust_0070,jelajahid,Warung Citra Sejahtera 70,UMKM,Jabodetabek,2024-12-13
jelajahid_cust_0071,jelajahid,Toko Fashion Lokal 71,Menengah,Jabodetabek,2024-01-11
jelajahid_cust_0072,jelajahid,UD Sinar Abadi 72,UMKM,Jawa,2024-10-21
jelajahid_cust_0073,jelajahid,Toko Bumi Lestari 73,Korporasi,Indonesia Timur,2024-05-15
jelajahid_cust_0074,jelajahid,UD Karya Bangsa 74,UMKM,Indonesia Timur,2024-07-20
jelajahid_cust_0075,jelajahid,Toko Fashion Lokal 75,UMKM,Indonesia Timur,2024-06-17
jelajahid_cust_0076,jelajahid,PT Karya Bangsa 76,UMKM,Sumatera,2024-02-11
jelajahid_cust_0077,jelajahid,UD Citra Sejahtera 77,UMKM,Jawa,2024-04-27
jelajahid_cust_0078,jelajahid,PT Batik Cantik 78,Menengah,Sumatera,2024-07-20
jelajahid_cust_0079,jelajahid,UD Maju Jaya 79,Korporasi,Sumatera,2024-08-03
jelajahid_cust_0080,jelajahid,Warung Sumber Rejeki 80,Korporasi,Jawa,2024-09-16
jelajahid_cust_0081,jelajahid,UD Fashion Lokal 81,UMKM,Sumatera,2024-11-19
jelajahid_cust_0082,jelajahid,Toko Maju Jaya 82,Korporasi,Jawa,2024-10-13
jelajahid_cust_0083,jelajahid,PT Bumi Lestari 83,Korporasi,Jabodetabek,2024-12-05
jelajahid_cust_0084,jelajahid,Toko Nusantara Digital 84,Korporasi,Indonesia Timur,2024-01-04
jelajahid_cust_0085,jelajahid,PT Fashion Lokal 85,Korporasi,Jawa,2024-11-13
jelajahid_cust_0086,jelajahid,Toko Bumi Lestari 86,Menengah,Sumatera,2024-06-17
jelajahid_cust_0087,jelajahid,Toko Elektronik Ceria 87,Korporasi,Jabodetabek,2024-04-23
jelajahid_cust_0088,jelajahid,Warung Mitra Dagang 88,UMKM,Indonesia Timur,2024-12-17
jelajahid_cust_0089,jelajahid,CV Rasa Nusantara 89,Korporasi,Jabodetabek,2024-01-03
jelajahid_cust_0090,jelajahid,UD Tekno Rimba 90,Menengah,Jawa,2024-12-06
jelajahid_cust_0091,jelajahid,PT Rumah Nyaman 91,Menengah,Jabodetabek,2024-07-17
jelajahid_cust_0092,jelajahid,Warung Laut Biru 92,UMKM,Jawa,2024-02-23
jelajahid_cust_0093,jelajahid,Warung Bumi Lestari 93,Korporasi,Jawa,2024-04-18
jelajahid_cust_0094,jelajahid,UD Laut Biru 94,Menengah,Indonesia Timur,2024-01-13
jelajahid_cust_0095,jelajahid,Toko Anugerah Prima 95,Korporasi,Jabodetabek,2024-04-03
jelajahid_cust_0096,jelajahid,Toko Fashion Lokal 96,UMKM,Indonesia Timur,2024-01-15
jelajahid_cust_0097,jelajahid,Warung Berkah Mandiri 97,Menengah,Sumatera,2024-09-09
jelajahid_cust_0098,jelajahid,PT Gunung Mas 98,Korporasi,Indonesia Timur,2024-03-19
jelajahid_cust_0099,jelajahid,CV Fashion Lokal 99,Menengah,Jabodetabek,2024-08-21
jelajahid_cust_0100,jelajahid,UD Pangan Sehat 100,Korporasi,Sumatera,2024-06-15
jelajahid_cust_0101,jelajahid,CV Batik Cantik 101,Menengah,Sumatera,2024-11-27
jelajahid_cust_0102,jelajahid,PT Gunung Mas 102,Menengah,Sumatera,2024-03-08
jelajahid_cust_0103,jelajahid,UD Nusantara Digital 103,UMKM,Jabodetabek,2024-12-20
jelajahid_cust_0104,jelajahid,CV Sumber Rejeki 104,Korporasi,Jabodetabek,2024-05-10
jelajahid_cust_0105,jelajahid,Toko Maju Jaya 105,Korporasi,Sumatera,2024-12-27
jelajahid_cust_0106,jelajahid,Warung Tekno Rimba 106,Korporasi,Jawa,2024-07-18
jelajahid_cust_0107,jelajahid,Toko Rumah Nyaman 107,UMKM,Sumatera,2024-04-13
jelajahid_cust_0108,jelajahid,Warung Maju Jaya 108,Korporasi,Sumatera,2024-11-17
jelajahid_cust_0109,jelajahid,Warung Fashion Lokal 109,Korporasi,Sumatera,2024-04-08
jelajahid_cust_0110,jelajahid,Warung Bumi Lestari 110,UMKM,Jawa,2024-03-02
jelajahid_cust_0111,jelajahid,Toko Sumber Rejeki 111,Korporasi,Indonesia Timur,2024-12-16
jelajahid_cust_0112,jelajahid,UD Rasa Nusantara 112,Korporasi,Jawa,2024-10-13
jelajahid_cust_0113,jelajahid,Toko Laut Biru 113,Menengah,Sumatera,2024-03-11
jelajahid_cust_0114,jelajahid,CV Mitra Dagang 114,UMKM,Sumatera,2024-07-28
jelajahid_cust_0115,jelajahid,PT Pangan Sehat 115,Menengah,Indonesia Timur,2024-12-25
jelajahid_cust_0116,jelajahid,CV Bumi Lestari 116,Korporasi,Indonesia Timur,2024-10-26
jelajahid_cust_0117,jelajahid,Toko Karya Bangsa 117,Korporasi,Jabodetabek,2024-05-22
jelajahid_cust_0118,jelajahid,CV Maju Jaya 118,Menengah,Jabodetabek,2024-01-26
jelajahid_cust_0119,jelajahid,PT Citra Sejahtera 119,UMKM,Jabodetabek,2024-04-08
jelajahid_cust_0120,jelajahid,CV Elektronik Ceria 120,UMKM,Sumatera,2024-08-25
jelajahid_cust_0121,jelajahid,CV Batik Cantik 121,UMKM,Jabodetabek,2024-01-05
jelajahid_cust_0122,jelajahid,UD Mitra Dagang 122,Menengah,Indonesia Timur,2024-09-17
jelajahid_cust_0123,jelajahid,Warung Batik Cantik 123,UMKM,Sumatera,2024-04-03
jelajahid_cust_0124,jelajahid,UD Mitra Dagang 124,UMKM,Jabodetabek,2024-12-03
jelajahid_cust_0125,jelajahid,Toko Tekno Rimba 125,Korporasi,Jawa,2024-08-14
jelajahid_cust_0126,jelajahid,UD Rasa Nusantara 126,Menengah,Indonesia Timur,2024-09-27
jelajahid_cust_0127,jelajahid,UD Rasa Nusantara 127,Korporasi,Indonesia Timur,2024-11-15
jelajahid_cust_0128,jelajahid,UD Rasa Nusantara 128,Korporasi,Jawa,2024-02-22
jelajahid_cust_0129,jelajahid,Warung Maju Jaya 129,Korporasi,Jawa,2024-09-23
jelajahid_cust_0130,jelajahid,CV Rumah Nyaman 130,Korporasi,Jawa,2024-08-26
jelajahid_cust_0131,jelajahid,Toko Maju Jaya 131,Menengah,Sumatera,2024-03-05
jelajahid_cust_0132,jelajahid,PT Bumi Lestari 132,UMKM,Jawa,2024-06-16
jelajahid_cust_0133,jelajahid,Warung Citra Sejahtera 133,Korporasi,Jabodetabek,2024-01-14
jelajahid_cust_0134,jelajahid,CV Citra Sejahtera 134,Menengah,Jawa,2024-02-11
jelajahid_cust_0135,jelajahid,UD Anugerah Prima 135,Menengah,Jawa,2024-08-02
jelajahid_cust_0136,jelajahid,PT Tekno Rimba 136,Korporasi,Jabodetabek,2024-01-02
jelajahid_cust_0137,jelajahid,UD Berkah Mandiri 137,Korporasi,Indonesia Timur,2024-11-24
jelajahid_cust_0138,jelajahid,Warung Tekno Rimba 138,Korporasi,Jabodetabek,2024-03-16
jelajahid_cust_0139,jelajahid,PT Rumah Nyaman 139,UMKM,Sumatera,2024-02-23
jelajahid_cust_0140,jelajahid,Toko Karya Bangsa 140,Menengah,Jawa,2024-01-05
jelajahid_cust_0141,jelajahid,Warung Pangan Sehat 141,UMKM,Jabodetabek,2024-09-03
jelajahid_cust_0142,jelajahid,UD Gunung Mas 142,UMKM,Sumatera,2024-11-12
jelajahid_cust_0143,jelajahid,Toko Maju Jaya 143,Menengah,Sumatera,2024-12-08
jelajahid_cust_0144,jelajahid,Warung Laut Biru 144,UMKM,Sumatera,2024-02-27
jelajahid_cust_0145,jelajahid,Toko Laut Biru 145,Menengah,Indonesia Timur,2024-03-02
jelajahid_cust_0146,jelajahid,Warung Bumi Lestari 146,Korporasi,Jawa,2024-09-04
jelajahid_cust_0147,jelajahid,Toko Batik Cantik 147,UMKM,Jabodetabek,2024-12-25
jelajahid_cust_0148,jelajahid,CV Pangan Sehat 148,Korporasi,Jawa,2024-08-17
jelajahid_cust_0149,jelajahid,UD Nusantara Digital 149,UMKM,Jawa,2024-10-23
jelajahid_cust_0150,jelajahid,CV Sinar Abadi 150,Menengah,Sumatera,2024-10-06
jelajahid_cust_0151,jelajahid,Toko Bumi Lestari 151,Menengah,Sumatera,2024-05-20
jelajahid_cust_0152,jelajahid,UD Indah Makmur 152,Menengah,Jawa,2024-06-17
jelajahid_cust_0153,jelajahid,Toko Nusantara Digital 153,Menengah,Jawa,2024-10-26
jelajahid_cust_0154,jelajahid,UD Sumber Rejeki 154,Korporasi,Sumatera,2024-01-05
jelajahid_cust_0155,jelajahid,Warung Karya Bangsa 155,Menengah,Sumatera,2024-01-03
jelajahid_cust_0156,jelajahid,CV Mitra Dagang 156,UMKM,Jabodetabek,2024-03-03
jelajahid_cust_0157,jelajahid,PT Citra Sejahtera 157,UMKM,Sumatera,2024-02-14
jelajahid_cust_0158,jelajahid,Toko Tekno Rimba 158,UMKM,Indonesia Timur,2024-07-17
jelajahid_cust_0159,jelajahid,Toko Rasa Nusantara 159,Korporasi,Indonesia Timur,2024-12-11
jelajahid_cust_0160,jelajahid,CV Bumi Lestari 160,UMKM,Sumatera,2024-05-13
jelajahid_cust_0161,jelajahid,Toko Pangan Sehat 161,UMKM,Sumatera,2024-02-08
jelajahid_cust_0162,jelajahid,CV Anugerah Prima 162,Korporasi,Jawa,2024-07-25
jelajahid_cust_0163,jelajahid,CV Citra Sejahtera 163,UMKM,Sumatera,2024-09-28
jelajahid_cust_0164,jelajahid,Warung Mitra Dagang 164,Korporasi,Jawa,2024-06-14
jelajahid_cust_0165,jelajahid,Warung Fashion Lokal 165,Menengah,Jawa,2024-03-17
jelajahid_cust_0166,jelajahid,Warung Sinar Abadi 166,UMKM,Jawa,2024-04-06
jelajahid_cust_0167,jelajahid,Toko Fashion Lokal 167,Korporasi,Jabodetabek,2024-02-20
jelajahid_cust_0168,jelajahid,Warung Berkah Mandiri 168,Menengah,Jabodetabek,2024-01-26
jelajahid_cust_0169,jelajahid,PT Sumber Rejeki 169,Korporasi,Indonesia Timur,2024-08-14
jelajahid_cust_0170,jelajahid,Warung Maju Jaya 170,Menengah,Jabodetabek,2024-06-10
jelajahid_cust_0171,jelajahid,Warung Anugerah Prima 171,UMKM,Jawa,2024-12-11
jelajahid_cust_0172,jelajahid,Toko Laut Biru 172,Korporasi,Indonesia Timur,2024-01-04
jelajahid_cust_0173,jelajahid,Toko Sumber Rejeki 173,Korporasi,Jawa,2024-02-10
jelajahid_cust_0174,jelajahid,CV Gunung Mas 174,Korporasi,Sumatera,2024-06-01
jelajahid_cust_0175,jelajahid,UD Elektronik Ceria 175,Korporasi,Jabodetabek,2024-11-11
jelajahid_cust_0176,jelajahid,Warung Sumber Rejeki 176,Korporasi,Sumatera,2024-06-24
jelajahid_cust_0177,jelajahid,Toko Elektronik Ceria 177,Korporasi,Jabodetabek,2024-11-22
jelajahid_cust_0178,jelajahid,UD Berkah Mandiri 178,Korporasi,Indonesia Timur,2024-01-15
jelajahid_cust_0179,jelajahid,UD Citra Sejahtera 179,Menengah,Indonesia Timur,2024-05-02
jelajahid_cust_0180,jelajahid,PT Citra Sejahtera 180,Menengah,Jawa,2024-02-12
jelajahid_cust_0181,jelajahid,Warung Indah Makmur 181,Korporasi,Indonesia Timur,2024-04-03
jelajahid_cust_0182,jelajahid,CV Rasa Nusantara 182,Menengah,Sumatera,2024-10-28
jelajahid_cust_0183,jelajahid,Toko Bumi Lestari 183,UMKM,Jawa,2024-01-19
jelajahid_cust_0184,jelajahid,UD Tekno Rimba 184,Menengah,Jawa,2024-04-09
jelajahid_cust_0185,jelajahid,Warung Tekno Rimba 185,UMKM,Jabodetabek,2024-11-08
jelajahid_cust_0186,jelajahid,Warung Nusantara Digital 186,Menengah,Sumatera,2024-12-25
jelajahid_cust_0187,jelajahid,PT Gunung Mas 187,Menengah,Indonesia Timur,2024-06-08
jelajahid_cust_0188,jelajahid,PT Gunung Mas 188,UMKM,Jabodetabek,2024-12-08
jelajahid_cust_0189,jelajahid,PT Sumber Rejeki 189,UMKM,Jabodetabek,2024-12-23
jelajahid_cust_0190,jelajahid,UD Tekno Rimba 190,Korporasi,Indonesia Timur,2024-01-10
jelajahid_cust_0191,jelajahid,CV Sinar Abadi 191,Korporasi,Indonesia Timur,2024-10-06
jelajahid_cust_0192,jelajahid,PT Karya Bangsa 192,Menengah,Indonesia Timur,2024-01-10
jelajahid_cust_0193,jelajahid,PT Karya Bangsa 193,Menengah,Indonesia Timur,2024-12-05
jelajahid_cust_0194,jelajahid,Toko Sinar Abadi 194,UMKM,Jabodetabek,2024-01-23
jelajahid_cust_0195,jelajahid,UD Anugerah Prima 195,Menengah,Indonesia Timur,2024-11-14
jelajahid_cust_0196,jelajahid,Toko Fashion Lokal 196,Menengah,Jawa,2024-08-04
jelajahid_cust_0197,jelajahid,Warung Tekno Rimba 197,UMKM,Jawa,2024-07-04
jelajahid_cust_0198,jelajahid,Warung Tekno Rimba 198,UMKM,Jabodetabek,2024-03-23
jelajahid_cust_0199,jelajahid,UD Berkah Mandiri 199,UMKM,Indonesia Timur,2024-09-03
jelajahid_cust_0200,jelajahid,CV Bumi Lestari 200,Korporasi,Jawa,2024-08-06
jelajahid_cust_0201,jelajahid,PT Elektronik Ceria 201,UMKM,Jawa,2024-12-05
jelajahid_cust_0202,jelajahid,Toko Maju Jaya 202,Korporasi,Sumatera,2024-12-12
jelajahid_cust_0203,jelajahid,PT Elektronik Ceria 203,Korporasi,Sumatera,2024-11-10
jelajahid_cust_0204,jelajahid,Toko Gunung Mas 204,Menengah,Jabodetabek,2024-09-01
jelajahid_cust_0205,jelajahid,Toko Sinar Abadi 205,Korporasi,Jawa,2024-01-12
jelajahid_cust_0206,jelajahid,Toko Bumi Lestari 206,Korporasi,Jabodetabek,2024-04-04
jelajahid_cust_0207,jelajahid,UD Bumi Lestari 207,UMKM,Jabodetabek,2024-04-15
jelajahid_cust_0208,jelajahid,UD Nusantara Digital 208,Korporasi,Jawa,2024-02-05
jelajahid_cust_0209,jelajahid,UD Anugerah Prima 209,Menengah,Indonesia Timur,2024-04-06
jelajahid_cust_0210,jelajahid,Warung Fashion Lokal 210,Korporasi,Sumatera,2024-06-03
jelajahid_cust_0211,jelajahid,PT Fashion Lokal 211,Menengah,Sumatera,2024-11-24
jelajahid_cust_0212,jelajahid,CV Berkah Mandiri 212,UMKM,Jawa,2024-11-12
jelajahid_cust_0213,jelajahid,Toko Sumber Rejeki 213,Menengah,Jabodetabek,2024-11-21
jelajahid_cust_0214,jelajahid,Toko Maju Jaya 214,Menengah,Jawa,2024-10-08
jelajahid_cust_0215,jelajahid,Toko Bumi Lestari 215,Menengah,Jawa,2024-10-25
jelajahid_cust_0216,jelajahid,UD Tekno Rimba 216,UMKM,Sumatera,2024-12-28
jelajahid_cust_0217,jelajahid,UD Indah Makmur 217,UMKM,Jawa,2024-11-17
jelajahid_cust_0218,jelajahid,PT Maju Jaya 218,Korporasi,Jabodetabek,2024-07-26
jelajahid_cust_0219,jelajahid,PT Berkah Mandiri 219,UMKM,Sumatera,2024-04-05
jelajahid_cust_0220,jelajahid,CV Mitra Dagang 220,Menengah,Jabodetabek,2024-06-07
jelajahid_cust_0221,jelajahid,Toko Nusantara Digital 221,Korporasi,Jawa,2024-10-14
jelajahid_cust_0222,jelajahid,Toko Karya Bangsa 222,Menengah,Jawa,2024-06-13
jelajahid_cust_0223,jelajahid,Warung Bumi Lestari 223,UMKM,Jabodetabek,2024-03-02
jelajahid_cust_0224,jelajahid,PT Pangan Sehat 224,Korporasi,Sumatera,2024-02-02
jelajahid_cust_0225,jelajahid,CV Mitra Dagang 225,Menengah,Jawa,2024-11-25
jelajahid_cust_0226,jelajahid,CV Anugerah Prima 226,Korporasi,Indonesia Timur,2024-02-09
jelajahid_cust_0227,jelajahid,PT Anugerah Prima 227,Korporasi,Sumatera,2024-05-15
jelajahid_cust_0228,jelajahid,UD Elektronik Ceria 228,UMKM,Jabodetabek,2024-05-25
jelajahid_cust_0229,jelajahid,UD Fashion Lokal 229,Menengah,Sumatera,2024-12-03
jelajahid_cust_0230,jelajahid,Toko Rumah Nyaman 230,Menengah,Indonesia Timur,2024-11-27
jelajahid_cust_0231,jelajahid,UD Bumi Lestari 231,UMKM,Sumatera,2024-10-05
jelajahid_cust_0232,jelajahid,UD Pangan Sehat 232,Menengah,Indonesia Timur,2024-07-07
jelajahid_cust_0233,jelajahid,Warung Rasa Nusantara 233,Korporasi,Indonesia Timur,2024-01-12
jelajahid_cust_0234,jelajahid,UD Berkah Mandiri 234,Menengah,Sumatera,2024-02-22
jelajahid_cust_0235,jelajahid,PT Indah Makmur 235,Menengah,Jawa,2024-07-21
jelajahid_cust_0236,jelajahid,CV Tekno Rimba 236,Korporasi,Indonesia Timur,2024-10-10
jelajahid_cust_0237,jelajahid,CV Gunung Mas 237,Korporasi,Sumatera,2024-07-26
jelajahid_cust_0238,jelajahid,PT Elektronik Ceria 238,UMKM,Jabodetabek,2024-05-28
jelajahid_cust_0239,jelajahid,Warung Sinar Abadi 239,Korporasi,Sumatera,2024-05-17
jelajahid_cust_0240,jelajahid,Toko Batik Cantik 240,UMKM,Indonesia Timur,2024-10-12
jelajahid_cust_0241,jelajahid,PT Laut Biru 241,Korporasi,Jawa,2024-04-15
jelajahid_cust_0242,jelajahid,Warung Fashion Lokal 242,Korporasi,Jabodetabek,2024-02-26
jelajahid_cust_0243,jelajahid,Toko Elektronik Ceria 243,Menengah,Jawa,2024-05-26
jelajahid_cust_0244,jelajahid,CV Tekno Rimba 244,Korporasi,Indonesia Timur,2024-12-20
jelajahid_cust_0245,jelajahid,Warung Sumber Rejeki 245,Menengah,Jawa,2024-01-05
jelajahid_cust_0246,jelajahid,PT Sinar Abadi 246,Korporasi,Jabodetabek,2024-02-12
jelajahid_cust_0247,jelajahid,Toko Tekno Rimba 247,UMKM,Jawa,2024-01-20
jelajahid_cust_0248,jelajahid,Warung Elektronik Ceria 248,Korporasi,Indonesia Timur,2024-03-12
jelajahid_cust_0249,jelajahid,CV Maju Jaya 249,UMKM,Indonesia Timur,2024-12-08
jelajahid_cust_0250,jelajahid,Warung Elektronik Ceria 250,UMKM,Sumatera,2024-01-10
jelajahid_cust_0251,jelajahid,Toko Sumber Rejeki 251,Menengah,Sumatera,2024-03-03
jelajahid_cust_0252,jelajahid,UD Anugerah Prima 252,Menengah,Indonesia Timur,2024-10-21
jelajahid_cust_0253,jelajahid,CV Tekno Rimba 253,Korporasi,Indonesia Timur,2024-03-07
jelajahid_cust_0254,jelajahid,Toko Nusantara Digital 254,Menengah,Sumatera,2024-12-22
jelajahid_cust_0255,jelajahid,UD Sumber Rejeki 255,Menengah,Sumatera,2024-08-02
jelajahid_cust_0256,jelajahid,Toko Indah Makmur 256,Korporasi,Indonesia Timur,2024-03-01
jelajahid_cust_0257,jelajahid,PT Berkah Mandiri 257,Menengah,Sumatera,2024-02-06
jelajahid_cust_0258,jelajahid,Warung Mitra Dagang 258,UMKM,Sumatera,2024-06-14
jelajahid_cust_0259,jelajahid,UD Pangan Sehat 259,Korporasi,Indonesia Timur,2024-11-22
jelajahid_cust_0260,jelajahid,UD Batik Cantik 260,Menengah,Jawa,2024-01-09
jelajahid_cust_0261,jelajahid,Toko Gunung Mas 261,Korporasi,Jabodetabek,2024-10-09
jelajahid_cust_0262,jelajahid,Toko Tekno Rimba 262,Korporasi,Jawa,2024-03-08
jelajahid_cust_0263,jelajahid,Toko Karya Bangsa 263,UMKM,Indonesia Timur,2024-08-19
jelajahid_cust_0264,jelajahid,Warung Tekno Rimba 264,Menengah,Jabodetabek,2024-11-03
jelajahid_cust_0265,jelajahid,PT Tekno Rimba 265,Korporasi,Jabodetabek,2024-07-26
jelajahid_cust_0266,jelajahid,Warung Laut Biru 266,UMKM,Jabodetabek,2024-07-26
jelajahid_cust_0267,jelajahid,UD Elektronik Ceria 267,Korporasi,Indonesia Timur,2024-05-06
jelajahid_cust_0268,jelajahid,UD Bumi Lestari 268,Korporasi,Sumatera,2024-05-04
jelajahid_cust_0269,jelajahid,UD Laut Biru 269,UMKM,Sumatera,2024-07-14
jelajahid_cust_0270,jelajahid,Warung Berkah Mandiri 270,UMKM,Indonesia Timur,2024-09-18
jelajahid_cust_0271,jelajahid,UD Bumi Lestari 271,Menengah,Jabodetabek,2024-01-18
jelajahid_cust_0272,jelajahid,PT Karya Bangsa 272,Korporasi,Jawa,2024-03-09
jelajahid_cust_0273,jelajahid,UD Tekno Rimba 273,Menengah,Jabodetabek,2024-08-15
jelajahid_cust_0274,jelajahid,PT Mitra Dagang 274,Korporasi,Sumatera,2024-01-04
