shipment_id,company_id,shipper_id,ship_date,shipment_status,revenue_idr
angkutprima_ord_00229,angkutprima,angkutprima_cust_0245,2025-09-04,completed,7311450
angkutprima_ord_00254,angkutprima,angkutprima_cust_0070,2025-09-04,completed,31948879
angkutprima_ord_00142,angkutprima,angkutprima_cust_0173,2025-09-05,completed,20933040
angkutprima_ord_00153,angkutprima,angkutprima_cust_0154,2025-09-05,cancelled,238784
angkutprima_ord_00219,angkutprima,angkutprima_cust_0225,2025-09-05,completed,15594256
angkutprima_ord_00005,angkutprima,angkutprima_cust_0289,2025-09-06,completed,28900968
angkutprima_ord_00026,angkutprima,angkutprima_cust_0021,2025-09-06,cancelled,1809944
angkutprima_ord_00028,angkutprima,angkutprima_cust_0261,2025-09-06,completed,5133660
angkutprima_ord_00053,angkutprima,angkutprima_cust_0100,2025-09-06,completed,18036316
angkutprima_ord_00082,angkutprima,angkutprima_cust_0118,2025-09-06,completed,6215093
angkutprima_ord_00095,angkutprima,angkutprima_cust_0185,2025-09-06,completed,3749708
angkutprima_ord_00096,angkutprima,angkutprima_cust_0032,2025-09-06,completed,4051814
angkutprima_ord_00098,angkutprima,angkutprima_cust_0221,2025-09-06,cancelled,2230379
angkutprima_ord_00188,angkutprima,angkutprima_cust_0266,2025-09-06,completed,8287716
angkutprima_ord_00212,angkutprima,angkutprima_cust_0036,2025-09-06,completed,1192292
angkutprima_ord_00241,angkutprima,angkutprima_cust_0042,2025-09-06,completed,5805314
angkutprima_ord_00007,angkutprima,angkutprima_cust_0229,2025-09-07,completed,24251790
angkutprima_ord_00054,angkutprima,angkutprima_cust_0264,2025-09-07,completed,14726197
angkutprima_ord_00101,angkutprima,angkutprima_cust_0121,2025-09-07,completed,14998832
angkutprima_ord_00161,angkutprima,angkutprima_cust_0077,2025-09-07,completed,10806822
angkutprima_ord_00194,angkutprima,angkutprima_cust_0079,2025-09-07,completed,20219258
angkutprima_ord_00196,angkutprima,angkutprima_cust_0035,2025-09-07,completed,7800694
angkutprima_ord_00018,angkutprima,angkutprima_cust_0033,2025-09-08,completed,5978801
angkutprima_ord_00021,angkutprima,angkutprima_cust_0061,2025-09-08,completed,10021764
angkutprima_ord_00022,angkutprima,angkutprima_cust_0089,2025-09-08,completed,11144058
angkutprima_ord_00051,angkutprima,angkutprima_cust_0257,2025-09-08,completed,298073
angkutprima_ord_00097,angkutprima,angkutprima_cust_0165,2025-09-08,completed,12667281
angkutprima_ord_00114,angkutprima,angkutprima_cust_0037,2025-09-08,completed,5957811
angkutprima_ord_00137,angkutprima,angkutprima_cust_0097,2025-09-08,cancelled,3619663
angkutprima_ord_00148,angkutprima,angkutprima_cust_0291,2025-09-08,completed,2595012
angkutprima_ord_00175,angkutprima,angkutprima_cust_0265,2025-09-08,completed,7951783
angkutprima_ord_00183,angkutprima,angkutprima_cust_0031,2025-09-08,completed,1591893
angkutprima_ord_00237,angkutprima,angkutprima_cust_0146,2025-09-08,completed,9469848
angkutprima_ord_00260,angkutprima,angkutprima_cust_0078,2025-09-08,completed,16916410
angkutprima_ord_00262,angkutprima,angkutprima_cust_0067,2025-09-08,cancelled,2775484
angkutprima_ord_00103,angkutprima,angkutprima_cust_0120,2025-09-09,completed,22548536
angkutprima_ord_00130,angkutprima,angkutprima_cust_0117,2025-09-09,completed,15672185
angkutprima_ord_00160,angkutprima,angkutprima_cust_0059,2025-09-09,completed,6660629
angkutprima_ord_00170,angkutprima,angkutprima_cust_0269,2025-09-09,completed,7428618
angkutprima_ord_00177,angkutprima,angkutprima_cust_0101,2025-09-09,completed,4051814
angkutprima_ord_00180,angkutprima,angkutprima_cust_0192,2025-09-09,completed,28726806
angkutprima_ord_00202,angkutprima,angkutprima_cust_0143,2025-09-09,cancelled,2271969
angkutprima_ord_00215,angkutprima,angkutprima_cust_0284,2025-09-09,completed,11069624
angkutprima_ord_00232,angkutprima,angkutprima_cust_0271,2025-09-09,completed,14827620
angkutprima_ord_00236,angkutprima,angkutprima_cust_0068,2025-09-09,completed,151992
angkutprima_ord_00266,angkutprima,angkutprima_cust_0038,2025-09-09,cancelled,3073784
angkutprima_ord_00042,angkutprima,angkutprima_cust_0124,2025-09-10,cancelled,3704622
angkutprima_ord_00109,angkutprima,angkutprima_cust_0045,2025-09-10,completed,12091998
angkutprima_ord_00190,angkutprima,angkutprima_cust_0154,2025-09-10,completed,8811771
angkutprima_ord_00214,angkutprima,angkutprima_cust_0122,2025-09-10,completed,12997953
angkutprima_ord_00218,angkutprima,angkutprima_cust_0285,2025-09-10,cancelled,2723852
angkutprima_ord_00226,angkutprima,angkutprima_cust_0169,2025-09-10,completed,8625170
angkutprima_ord_00248,angkutprima,angkutprima_cust_0115,2025-09-10,completed,19130494
angkutprima_ord_00250,angkutprima,angkutprima_cust_0279,2025-09-10,completed,894219
angkutprima_ord_00044,angkutprima,angkutprima_cust_0060,2025-09-11,completed,17576796
angkutprima_ord_00057,angkutprima,angkutprima_cust_0251,2025-09-11,cancelled,607772
angkutprima_ord_00088,angkutprima,angkutprima_cust_0204,2025-09-11,completed,8829404
angkutprima_ord_00091,angkutprima,angkutprima_cust_0160,2025-09-11,cancelled,892944
angkutprima_ord_00193,angkutprima,angkutprima_cust_0277,2025-09-11,completed,29549972
angkutprima_ord_00224,angkutprima,angkutprima_cust_0206,2025-09-11,completed,19416292
angkutprima_ord_00242,angkutprima,angkutprima_cust_0256,2025-09-11,completed,6981807
angkutprima_ord_00244,angkutprima,angkutprima_cust_0080,2025-09-11,completed,10976194
angkutprima_ord_00246,angkutprima,angkutprima_cust_0017,2025-09-11,completed,13188447
angkutprima_ord_00265,angkutprima,angkutprima_cust_0292,2025-09-11,cancelled,2295422
angkutprima_ord_00002,angkutprima,angkutprima_cust_0230,2025-09-12,completed,26330117
angkutprima_ord_00076,angkutprima,angkutprima_cust_0002,2025-09-12,completed,9146393
angkutprima_ord_00086,angkutprima,angkutprima_cust_0120,2025-09-12,completed,11406060
angkutprima_ord_00129,angkutprima,angkutprima_cust_0252,2025-09-12,completed,8544384
angkutprima_ord_00205,angkutprima,angkutprima_cust_0251,2025-09-12,cancelled,1608369
angkutprima_ord_00245,angkutprima,angkutprima_cust_0219,2025-09-12,completed,6013226
angkutprima_ord_00252,angkutprima,angkutprima_cust_0142,2025-09-12,completed,16889708
angkutprima_ord_00255,angkutprima,angkutprima_cust_0253,2025-09-12,completed,9340172
angkutprima_ord_00271,angkutprima,angkutprima_cust_0263,2025-09-12,completed,11845270
angkutprima_ord_00001,angkutprima,angkutprima_cust_0199,2025-09-13,completed,19261131
angkutprima_ord_00014,angkutprima,angkutprima_cust_0204,2025-09-13,completed,9398684
angkutprima_ord_00043,angkutprima,angkutprima_cust_0008,2025-09-13,completed,11810901
angkutprima_ord_00080,angkutprima,angkutprima_cust_0253,2025-09-13,completed,22751581
angkutprima_ord_00085,angkutprima,angkutprima_cust_0179,2025-09-13,completed,12073830
angkutprima_ord_00108,angkutprima,angkutprima_cust_0211,2025-09-13,completed,9214882
angkutprima_ord_00127,angkutprima,angkutprima_cust_0234,2025-09-13,cancelled,293659
angkutprima_ord_00156,angkutprima,angkutprima_cust_0043,2025-09-13,completed,11249124
angkutprima_ord_00187,angkutprima,angkutprima_cust_0010,2025-09-13,completed,10265765
angkutprima_ord_00201,angkutprima,angkutprima_cust_0067,2025-09-13,cancelled,2706330
angkutprima_ord_00223,angkutprima,angkutprima_cust_0052,2025-09-13,completed,12594735
angkutprima_ord_00231,angkutprima,angkutprima_cust_0148,2025-09-13,completed,5403411
angkutprima_ord_00269,angkutprima,angkutprima_cust_0194,2025-09-13,completed,6318416
angkutprima_ord_00029,angkutprima,angkutprima_cust_0245,2025-09-14,completed,31334698
angkutprima_ord_00041,angkutprima,angkutprima_cust_0150,2025-09-14,completed,1257909
angkutprima_ord_00083,angkutprima,angkutprima_cust_0073,2025-09-14,completed,5489763
angkutprima_ord_00093,angkutprima,angkutprima_cust_0190,2025-09-14,cancelled,1302232
angkutprima_ord_00100,angkutprima,angkutprima_cust_0201,2025-09-14,cancelled,540341
angkutprima_ord_00115,angkutprima,angkutprima_cust_0293,2025-09-14,completed,6390118
angkutprima_ord_00133,angkutprima,angkutprima_cust_0030,2025-09-14,cancelled,1345834
angkutprima_ord_00221,angkutprima,angkutprima_cust_0043,2025-09-14,completed,12343086
angkutprima_ord_00012,angkutprima,angkutprima_cust_0042,2025-09-15,completed,6318416
angkutprima_ord_00038,angkutprima,angkutprima_cust_0181,2025-09-15,cancelled,932368
angkutprima_ord_00126,angkutprima,angkutprima_cust_0140,2025-09-15,completed,2515818
angkutprima_ord_00131,angkutprima,angkutprima_cust_0111,2025-09-15,completed,16536447
angkutprima_ord_00159,angkutprima,angkutprima_cust_0151,2025-09-15,completed,3774046
angkutprima_ord_00210,angkutprima,angkutprima_cust_0095,2025-09-15,completed,4349807
angkutprima_ord_00261,angkutprima,angkutprima_cust_0068,2025-09-15,completed,29771770
angkutprima_ord_00013,angkutprima,angkutprima_cust_0218,2025-09-16,completed,18961637
angkutprima_ord_00019,angkutprima,angkutprima_cust_0161,2025-09-16,completed,2640030
angkutprima_ord_00060,angkutprima,angkutprima_cust_0018,2025-09-16,cancelled,1227976
angkutprima_ord_00090,angkutprima,angkutprima_cust_0163,2025-09-16,completed,1485285
angkutprima_ord_00140,angkutprima,angkutprima_cust_0080,2025-09-16,completed,9010521
angkutprima_ord_00141,angkutprima,angkutprima_cust_0205,2025-09-16,completed,5999557
angkutprima_ord_00151,angkutprima,angkutprima_cust_0091,2025-09-16,completed,29854970
angkutprima_ord_00162,angkutprima,angkutprima_cust_0280,2025-09-16,completed,31337098
angkutprima_ord_00200,angkutprima,angkutprima_cust_0243,2025-09-16,completed,16575432
angkutprima_ord_00204,angkutprima,angkutprima_cust_0247,2025-09-16,completed,13393569
angkutprima_ord_00217,angkutprima,angkutprima_cust_0053,2025-09-16,completed,12667281
angkutprima_ord_00234,angkutprima,angkutprima_cust_0001,2025-09-16,completed,10380048
angkutprima_ord_00256,angkutprima,angkutprima_cust_0152,2025-09-16,completed,14998832
angkutprima_ord_00268,angkutprima,angkutprima_cust_0182,2025-09-16,completed,8736418
angkutprima_ord_00272,angkutprima,angkutprima_cust_0244,2025-09-16,completed,5846781
angkutprima_ord_00004,angkutprima,angkutprima_cust_0153,2025-09-17,cancelled,2345004
angkutprima_ord_00020,angkutprima,angkutprima_cust_0167,2025-09-17,cancelled,830035
angkutprima_ord_00046,angkutprima,angkutprima_cust_0002,2025-09-17,completed,4185212
angkutprima_ord_00072,angkutprima,angkutprima_cust_0227,2025-09-17,completed,14869206
angkutprima_ord_00197,angkutprima,angkutprima_cust_0199,2025-09-17,completed,3246188
angkutprima_ord_00263,angkutprima,angkutprima_cust_0059,2025-09-17,completed,1591893
angkutprima_ord_00037,angkutprima,angkutprima_cust_0078,2025-09-18,completed,8402561
angkutprima_ord_00056,angkutprima,angkutprima_cust_0234,2025-09-18,completed,19853545
angkutprima_ord_00062,angkutprima,angkutprima_cust_0190,2025-09-18,completed,1485285
angkutprima_ord_00107,angkutprima,angkutprima_cust_0295,2025-09-18,completed,10881422
angkutprima_ord_00178,angkutprima,angkutprima_cust_0201,2025-09-18,completed,8648027
angkutprima_ord_00259,angkutprima,angkutprima_cust_0197,2025-09-18,completed,7244788
angkutprima_ord_00033,angkutprima,angkutprima_cust_0087,2025-09-19,cancelled,540341
angkutprima_ord_00040,angkutprima,angkutprima_cust_0279,2025-09-19,completed,17228665
angkutprima_ord_00049,angkutprima,angkutprima_cust_0128,2025-09-19,cancelled,769372
angkutprima_ord_00059,angkutprima,angkutprima_cust_0041,2025-09-19,cancelled,1587008
angkutprima_ord_00061,angkutprima,angkutprima_cust_0286,2025-09-19,completed,7746914
angkutprima_ord_00079,angkutprima,angkutprima_cust_0170,2025-09-19,completed,1155800
angkutprima_ord_00138,angkutprima,angkutprima_cust_0264,2025-09-19,completed,4874300
angkutprima_ord_00182,angkutprima,angkutprima_cust_0041,2025-09-19,cancelled,4212054
angkutprima_ord_00198,angkutprima,angkutprima_cust_0009,2025-09-19,completed,1623094
angkutprima_ord_00253,angkutprima,angkutprima_cust_0088,2025-09-19,completed,1182132
angkutprima_ord_00264,angkutprima,angkutprima_cust_0017,2025-09-19,completed,22519734
angkutprima_ord_00017,angkutprima,angkutprima_cust_0004,2025-09-20,cancelled,810512
angkutprima_ord_00025,angkutprima,angkutprima_cust_0031,2025-09-20,completed,7480065
angkutprima_ord_00034,angkutprima,angkutprima_cust_0206,2025-09-20,cancelled,2431523
angkutprima_ord_00067,angkutprima,angkutprima_cust_0089,2025-09-20,completed,19338955
angkutprima_ord_00117,angkutprima,angkutprima_cust_0295,2025-09-20,completed,591066
angkutprima_ord_00132,angkutprima,angkutprima_cust_0269,2025-09-20,completed,2311600
angkutprima_ord_00158,angkutprima,angkutprima_cust_0175,2025-09-20,completed,3602274
angkutprima_ord_00172,angkutprima,angkutprima_cust_0281,2025-09-20,completed,14832927
angkutprima_ord_00184,angkutprima,angkutprima_cust_0200,2025-09-20,cancelled,486928
angkutprima_ord_00206,angkutprima,angkutprima_cust_0064,2025-09-20,cancelled,825724
angkutprima_ord_00228,angkutprima,angkutprima_cust_0163,2025-09-20,completed,13292989
angkutprima_ord_00247,angkutprima,angkutprima_cust_0038,2025-09-20,completed,10377754
angkutprima_ord_00258,angkutprima,angkutprima_cust_0233,2025-09-20,completed,24024288
angkutprima_ord_00267,angkutprima,angkutprima_cust_0091,2025-09-20,completed,11534744
angkutprima_ord_00055,angkutprima,angkutprima_cust_0177,2025-09-21,completed,19841380
angkutprima_ord_00074,angkutprima,angkutprima_cust_0275,2025-09-21,completed,14754120
angkutprima_ord_00102,angkutprima,angkutprima_cust_0162,2025-09-21,completed,33051240
angkutprima_ord_00119,angkutprima,angkutprima_cust_0089,2025-09-21,completed,18222413
angkutprima_ord_00123,angkutprima,angkutprima_cust_0282,2025-09-21,cancelled,768293
angkutprima_ord_00155,angkutprima,angkutprima_cust_0294,2025-09-21,completed,11670438
angkutprima_ord_00167,angkutprima,angkutprima_cust_0256,2025-09-21,completed,15144719
angkutprima_ord_00173,angkutprima,angkutprima_cust_0202,2025-09-21,cancelled,3324931
angkutprima_ord_00185,angkutprima,angkutprima_cust_0050,2025-09-21,completed,8450220
angkutprima_ord_00191,angkutprima,angkutprima_cust_0044,2025-09-21,completed,20740460
angkutprima_ord_00052,angkutprima,angkutprima_cust_0163,2025-09-22,cancelled,1804440
angkutprima_ord_00105,angkutprima,angkutprima_cust_0135,2025-09-22,completed,978862
angkutprima_ord_00116,angkutprima,angkutprima_cust_0086,2025-09-22,completed,7339772
angkutprima_ord_00171,angkutprima,angkutprima_cust_0299,2025-09-22,completed,3282100
angkutprima_ord_00195,angkutprima,angkutprima_cust_0111,2025-09-22,completed,4374419
angkutprima_ord_00209,angkutprima,angkutprima_cust_0107,2025-09-22,completed,3159208
angkutprima_ord_00211,angkutprima,angkutprima_cust_0272,2025-09-22,completed,24398064
angkutprima_ord_00222,angkutprima,angkutprima_cust_0173,2025-09-22,completed,9324042
angkutprima_ord_00227,angkutprima,angkutprima_cust_0108,2025-09-22,cancelled,1559486
angkutprima_ord_00243,angkutprima,angkutprima_cust_0098,2025-09-22,completed,13619156
angkutprima_ord_00009,angkutprima,angkutprima_cust_0241,2025-09-23,cancelled,886392
angkutprima_ord_00035,angkutprima,angkutprima_cust_0040,2025-09-23,completed,10909998
angkutprima_ord_00048,angkutprima,angkutprima_cust_0230,2025-09-23,completed,9748600
angkutprima_ord_00149,angkutprima,angkutprima_cust_0300,2025-09-23,completed,16450039
angkutprima_ord_00150,angkutprima,angkutprima_cust_0021,2025-09-23,completed,12142614
angkutprima_ord_00225,angkutprima,angkutprima_cust_0040,2025-09-23,completed,6844880
angkutprima_ord_00251,angkutprima,angkutprima_cust_0135,2025-09-23,completed,1957724
angkutprima_ord_00257,angkutprima,angkutprima_cust_0032,2025-09-23,completed,15493828
angkutprima_ord_00008,angkutprima,angkutprima_cust_0059,2025-09-24,completed,978862
angkutprima_ord_00031,angkutprima,angkutprima_cust_0173,2025-09-24,completed,17531333
angkutprima_ord_00064,angkutprima,angkutprima_cust_0146,2025-09-24,cancelled,1545518
angkutprima_ord_00111,angkutprima,angkutprima_cust_0230,2025-09-24,completed,1026004
angkutprima_ord_00118,angkutprima,angkutprima_cust_0259,2025-09-24,completed,5900304
angkutprima_ord_00147,angkutprima,angkutprima_cust_0218,2025-09-24,cancelled,2698191
angkutprima_ord_00163,angkutprima,angkutprima_cust_0249,2025-09-24,cancelled,395737
angkutprima_ord_00230,angkutprima,angkutprima_cust_0150,2025-09-24,completed,8444854
angkutprima_ord_00003,angkutprima,angkutprima_cust_0175,2025-09-25,completed,14351924
angkutprima_ord_00084,angkutprima,angkutprima_cust_0208,2025-09-25,completed,8767058
angkutprima_ord_00165,angkutprima,angkutprima_cust_0019,2025-09-25,completed,15454650
angkutprima_ord_00216,angkutprima,angkutprima_cust_0037,2025-09-25,completed,10472904
angkutprima_ord_00238,angkutprima,angkutprima_cust_0201,2025-09-25,completed,11914774
angkutprima_ord_00006,angkutprima,angkutprima_cust_0206,2025-09-26,completed,15670128
angkutprima_ord_00011,angkutprima,angkutprima_cust_0014,2025-09-26,completed,28694793
angkutprima_ord_00058,angkutprima,angkutprima_cust_0096,2025-09-26,completed,15464325
angkutprima_ord_00066,angkutprima,angkutprima_cust_0234,2025-09-26,completed,12636832
angkutprima_ord_00087,angkutprima,angkutprima_cust_0264,2025-09-26,completed,1591893
angkutprima_ord_00110,angkutprima,angkutprima_cust_0283,2025-09-26,cancelled,619908
angkutprima_ord_00144,angkutprima,angkutprima_cust_0029,2025-09-26,completed,18581155
angkutprima_ord_00235,angkutprima,angkutprima_cust_0180,2025-09-26,completed,16157823
angkutprima_ord_00249,angkutprima,angkutprima_cust_0178,2025-09-26,completed,30707798
angkutprima_ord_00030,angkutprima,angkutprima_cust_0014,2025-09-27,completed,12636832
angkutprima_ord_00071,angkutprima,angkutprima_cust_0176,2025-09-27,completed,11358910
angkutprima_ord_00121,angkutprima,angkutprima_cust_0254,2025-09-27,completed,2311600
angkutprima_ord_00124,angkutprima,angkutprima_cust_0196,2025-09-27,completed,23049420
angkutprima_ord_00128,angkutprima,angkutprima_cust_0149,2025-09-27,completed,18038443
angkutprima_ord_00176,angkutprima,angkutprima_cust_0186,2025-09-27,completed,13956579
angkutprima_ord_00189,angkutprima,angkutprima_cust_0249,2025-09-27,completed,9063481
angkutprima_ord_00192,angkutprima,angkutprima_cust_0124,2025-09-27,completed,2638248
angkutprima_ord_00032,angkutprima,angkutprima_cust_0127,2025-09-28,completed,7746914
angkutprima_ord_00070,angkutprima,angkutprima_cust_0087,2025-09-28,completed,4051814
angkutprima_ord_00077,angkutprima,angkutprima_cust_0144,2025-09-28,completed,5019252
angkutprima_ord_00099,angkutprima,angkutprima_cust_0146,2025-09-28,cancelled,45598
angkutprima_ord_00104,angkutprima,angkutprima_cust_0241,2025-09-28,cancelled,125862
angkutprima_ord_00135,angkutprima,angkutprima_cust_0122,2025-09-28,completed,7785036
angkutprima_ord_00139,angkutprima,angkutprima_cust_0282,2025-09-28,completed,8069842
angkutprima_ord_00152,angkutprima,angkutprima_cust_0181,2025-09-28,cancelled,520110
angkutprima_ord_00179,angkutprima,angkutprima_cust_0039,2025-09-28,completed,12155442
angkutprima_ord_00010,angkutprima,angkutprima_cust_0032,2025-09-29,completed,16166462
angkutprima_ord_00024,angkutprima,angkutprima_cust_0138,2025-09-29,completed,11406060
angkutprima_ord_00027,angkutprima,angkutprima_cust_0121,2025-09-29,completed,9683187
angkutprima_ord_00065,angkutprima,angkutprima_cust_0003,2025-09-29,completed,455976
angkutprima_ord_00092,angkutprima,angkutprima_cust_0264,2025-09-29,completed,17601177
angkutprima_ord_00146,angkutprima,angkutprima_cust_0220,2025-09-29,cancelled,774491
angkutprima_ord_00181,angkutprima,angkutprima_cust_0121,2025-09-29,completed,2509626
angkutprima_ord_00186,angkutprima,angkutprima_cust_0004,2025-09-29,completed,22474894
angkutprima_ord_00239,angkutprima,angkutprima_cust_0155,2025-09-29,completed,24520084
angkutprima_ord_00270,angkutprima,angkutprima_cust_0146,2025-09-29,completed,4869282
angkutprima_ord_00039,angkutprima,angkutprima_cust_0205,2025-09-30,cancelled,103063
angkutprima_ord_00068,angkutprima,angkutprima_cust_0017,2025-09-30,cancelled,2419270
angkutprima_ord_00112,angkutprima,angkutprima_cust_0082,2025-09-30,cancelled,68396
angkutprima_ord_00113,angkutprima,angkutprima_cust_0226,2025-09-30,cancelled,88660
angkutprima_ord_00122,angkutprima,angkutprima_cust_0086,2025-09-30,completed,26101884
angkutprima_ord_00145,angkutprima,angkutprima_cust_0114,2025-09-30,completed,2437150
angkutprima_ord_00203,angkutprima,angkutprima_cust_0151,2025-09-30,completed,6215787
angkutprima_ord_00207,angkutprima,angkutprima_cust_0152,2025-09-30,completed,7746914
angkutprima_ord_00213,angkutprima,angkutprima_cust_0196,2025-09-30,completed,7339772
angkutprima_ord_00220,angkutprima,angkutprima_cust_0232,2025-09-30,completed,30074244
angkutprima_ord_00376,angkutprima,angkutprima_cust_0274,2025-10-01,cancelled,888738
angkutprima_ord_00404,angkutprima,angkutprima_cust_0113,2025-10-01,completed,15925216
angkutprima_ord_00412,angkutprima,angkutprima_cust_0113,2025-10-01,cancelled,1124912
angkutprima_ord_00430,angkutprima,angkutprima_cust_0217,2025-10-01,cancelled,1332425
angkutprima_ord_00438,angkutprima,angkutprima_cust_0080,2025-10-01,cancelled,2161250
angkutprima_ord_00456,angkutprima,angkutprima_cust_0295,2025-10-01,cancelled,68396
angkutprima_ord_00483,angkutprima,angkutprima_cust_0277,2025-10-01,completed,7204548
angkutprima_ord_00515,angkutprima,angkutprima_cust_0019,2025-10-01,completed,4738902
angkutprima_ord_00517,angkutprima,angkutprima_cust_0174,2025-10-01,completed,24985104
angkutprima_ord_00539,angkutprima,angkutprima_cust_0220,2025-10-01,completed,12996072
angkutprima_ord_00274,angkutprima,angkutprima_cust_0166,2025-10-02,cancelled,169628
angkutprima_ord_00298,angkutprima,angkutprima_cust_0285,2025-10-02,cancelled,4070700
angkutprima_ord_00319,angkutprima,angkutprima_cust_0211,2025-10-02,completed,4032116
angkutprima_ord_00401,angkutprima,angkutprima_cust_0104,2025-10-02,completed,17621847
angkutprima_ord_00417,angkutprima,angkutprima_cust_0226,2025-10-02,cancelled,607772
angkutprima_ord_00419,angkutprima,angkutprima_cust_0049,2025-10-02,cancelled,1188365
angkutprima_ord_00532,angkutprima,angkutprima_cust_0073,2025-10-02,completed,9230901
angkutprima_ord_00544,angkutprima,angkutprima_cust_0008,2025-10-02,completed,5504829
angkutprima_ord_00306,angkutprima,angkutprima_cust_0106,2025-10-03,completed,6179002
angkutprima_ord_00315,angkutprima,angkutprima_cust_0068,2025-10-03,completed,5043471
angkutprima_ord_00323,angkutprima,angkutprima_cust_0163,2025-10-03,completed,17824132
angkutprima_ord_00368,angkutprima,angkutprima_cust_0230,2025-10-03,cancelled,1813935
angkutprima_ord_00391,angkutprima,angkutprima_cust_0132,2025-10-03,completed,8564305
angkutprima_ord_00423,angkutprima,angkutprima_cust_0268,2025-10-03,completed,455976
angkutprima_ord_00449,angkutprima,angkutprima_cust_0278,2025-10-03,completed,11815102
angkutprima_ord_00451,angkutprima,angkutprima_cust_0026,2025-10-03,cancelled,1245053
angkutprima_ord_00491,angkutprima,angkutprima_cust_0062,2025-10-03,completed,6418072
angkutprima_ord_00506,angkutprima,angkutprima_cust_0144,2025-10-03,completed,4165235
angkutprima_ord_00514,angkutprima,angkutprima_cust_0113,2025-10-03,completed,8103628
angkutprima_ord_00344,angkutprima,angkutprima_cust_0183,2025-10-04,completed,10945851
angkutprima_ord_00421,angkutprima,angkutprima_cust_0260,2025-10-04,cancelled,2316132
angkutprima_ord_00422,angkutprima,angkutprima_cust_0034,2025-10-04,completed,11625478
angkutprima_ord_00497,angkutprima,angkutprima_cust_0241,2025-10-04,completed,27059141
angkutprima_ord_00509,angkutprima,angkutprima_cust_0064,2025-10-04,completed,11249124
angkutprima_ord_00536,angkutprima,angkutprima_cust_0207,2025-10-04,completed,12560715
angkutprima_ord_00295,angkutprima,angkutprima_cust_0269,2025-10-05,completed,3749708
angkutprima_ord_00304,angkutprima,angkutprima_cust_0296,2025-10-05,completed,20848164
angkutprima_ord_00309,angkutprima,angkutprima_cust_0059,2025-10-05,completed,15941108
angkutprima_ord_00317,angkutprima,angkutprima_cust_0009,2025-10-05,completed,985290
angkutprima_ord_00332,angkutprima,angkutprima_cust_0197,2025-10-05,completed,17313165
angkutprima_ord_00361,angkutprima,angkutprima_cust_0012,2025-10-05,completed,12427611
angkutprima_ord_00378,angkutprima,angkutprima_cust_0183,2025-10-05,completed,11883654
