parcel_id,company_id,shipment_id,service_sku,parcels,charge_idr
angkutprima_item_00034,angkutprima,angkutprima_ord_00014,angkutprima_prod_0014,4,687088
angkutprima_item_00035,angkutprima,angkutprima_ord_00015,angkutprima_prod_0005,4,9973420
angkutprima_item_00036,angkutprima,angkutprima_ord_00015,angkutprima_prod_0007,3,11249124
angkutprima_item_00037,angkutprima,angkutprima_ord_00015,angkutprima_prod_0025,2,3183786
angkutprima_item_00038,angkutprima,angkutprima_ord_00016,angkutprima_prod_0005,2,4986710
angkutprima_item_00039,angkutprima,angkutprima_ord_00016,angkutprima_prod_0005,2,4986710
angkutprima_item_00040,angkutprima,angkutprima_ord_00016,angkutprima_prod_0013,2,978862
angkutprima_item_00041,angkutprima,angkutprima_ord_00017,angkutprima_prod_0030,3,810512
angkutprima_item_00042,angkutprima,angkutprima_ord_00018,angkutprima_prod_0017,2,4143858
angkutprima_item_00043,angkutprima,angkutprima_ord_00018,angkutprima_prod_0001,1,1834943
angkutprima_item_00044,angkutprima,angkutprima_ord_00019,angkutprima_prod_0016,2,2311600
angkutprima_item_00045,angkutprima,angkutprima_ord_00019,angkutprima_prod_0024,1,328430
angkutprima_item_00046,angkutprima,angkutprima_ord_00020,angkutprima_prod_0014,2,51532
angkutprima_item_00047,angkutprima,angkutprima_ord_00020,angkutprima_prod_0023,2,778504
angkutprima_item_00048,angkutprima,angkutprima_ord_00021,angkutprima_prod_0010,4,2364264
angkutprima_item_00049,angkutprima,angkutprima_ord_00021,angkutprima_prod_0003,4,5019252
angkutprima_item_00050,angkutprima,angkutprima_ord_00021,angkutprima_prod_0009,1,2638248
angkutprima_item_00051,angkutprima,angkutprima_ord_00022,angkutprima_prod_0010,1,591066
angkutprima_item_00052,angkutprima,angkutprima_ord_00022,angkutprima_prod_0009,4,10552992
angkutprima_item_00053,angkutprima,angkutprima_ord_00023,angkutprima_prod_0018,3,12096348
angkutprima_item_00054,angkutprima,angkutprima_ord_00024,angkutprima_prod_0012,4,11406060
angkutprima_item_00055,angkutprima,angkutprima_ord_00025,angkutprima_prod_0005,3,7480065
angkutprima_item_00056,angkutprima,angkutprima_ord_00026,angkutprima_prod_0021,2,1188365
angkutprima_item_00057,angkutprima,angkutprima_ord_00026,angkutprima_prod_0017,2,621579
angkutprima_item_00058,angkutprima,angkutprima_ord_00027,angkutprima_prod_0017,3,6215787
angkutprima_item_00059,angkutprima,angkutprima_ord_00027,angkutprima_prod_0016,3,3467400
angkutprima_item_00060,angkutprima,angkutprima_ord_00028,angkutprima_prod_0008,3,5133660
angkutprima_item_00061,angkutprima,angkutprima_ord_00029,angkutprima_prod_0021,3,11883654
angkutprima_item_00062,angkutprima,angkutprima_ord_00029,angkutprima_prod_0005,4,9973420
angkutprima_item_00063,angkutprima,angkutprima_ord_00029,angkutprima_prod_0019,3,9477624
angkutprima_item_00064,angkutprima,angkutprima_ord_00030,angkutprima_prod_0019,4,12636832
angkutprima_item_00065,angkutprima,angkutprima_ord_00031,angkutprima_prod_0011,2,1026004
angkutprima_item_00066,angkutprima,angkutprima_ord_00031,angkutprima_prod_0022,1,298073
angkutprima_item_00067,angkutprima,angkutprima_ord_00031,angkutprima_prod_0027,4,16207256
angkutprima_item_00068,angkutprima,angkutprima_ord_00032,angkutprima_prod_0029,2,7746914
angkutprima_item_00069,angkutprima,angkutprima_ord_00033,angkutprima_prod_0030,2,540341
angkutprima_item_00070,angkutprima,angkutprima_ord_00034,angkutprima_prod_0021,2,1188365
angkutprima_item_00071,angkutprima,angkutprima_ord_00034,angkutprima_prod_0017,4,1243157
angkutprima_item_00072,angkutprima,angkutprima_ord_00035,angkutprima_prod_0026,3,10909998
angkutprima_item_00073,angkutprima,angkutprima_ord_00036,angkutprima_prod_0028,1,1604518
angkutprima_item_00074,angkutprima,angkutprima_ord_00037,angkutprima_prod_0003,1,1254813
angkutprima_item_00075,angkutprima,angkutprima_ord_00037,angkutprima_prod_0013,4,1957724
angkutprima_item_00076,angkutprima,angkutprima_ord_00037,angkutprima_prod_0023,2,5190024
angkutprima_item_00077,angkutprima,angkutprima_ord_00038,angkutprima_prod_0017,3,932368
angkutprima_item_00078,angkutprima,angkutprima_ord_00039,angkutprima_prod_0014,4,103063
angkutprima_item_00079,angkutprima,angkutprima_ord_00040,angkutprima_prod_0004,3,7311450
angkutprima_item_00080,angkutprima,angkutprima_ord_00040,angkutprima_prod_0004,1,2437150
angkutprima_item_00081,angkutprima,angkutprima_ord_00040,angkutprima_prod_0005,3,7480065
angkutprima_item_00082,angkutprima,angkutprima_ord_00041,angkutprima_prod_0020,1,1257909
angkutprima_item_00083,angkutprima,angkutprima_ord_00042,angkutprima_prod_0009,4,1582949
angkutprima_item_00084,angkutprima,angkutprima_ord_00042,angkutprima_prod_0003,3,564666
angkutprima_item_00085,angkutprima,angkutprima_ord_00042,angkutprima_prod_0023,4,1557007
angkutprima_item_00086,angkutprima,angkutprima_ord_00043,angkutprima_prod_0020,1,1257909
angkutprima_item_00087,angkutprima,angkutprima_ord_00043,angkutprima_prod_0009,4,10552992
angkutprima_item_00088,angkutprima,angkutprima_ord_00044,angkutprima_prod_0002,4,16889708
angkutprima_item_00089,angkutprima,angkutprima_ord_00044,angkutprima_prod_0014,4,687088
angkutprima_item_00090,angkutprima,angkutprima_ord_00045,angkutprima_prod_0014,3,77297
angkutprima_item_00091,angkutprima,angkutprima_ord_00046,angkutprima_prod_0019,1,3159208
angkutprima_item_00092,angkutprima,angkutprima_ord_00046,angkutprima_prod_0011,2,1026004
angkutprima_item_00093,angkutprima,angkutprima_ord_00047,angkutprima_prod_0030,4,7204548
angkutprima_item_00094,angkutprima,angkutprima_ord_00047,angkutprima_prod_0026,2,7273332
angkutprima_item_00095,angkutprima,angkutprima_ord_00047,angkutprima_prod_0026,1,3636666
angkutprima_item_00096,angkutprima,angkutprima_ord_00048,angkutprima_prod_0004,4,9748600
angkutprima_item_00097,angkutprima,angkutprima_ord_00049,angkutprima_prod_0017,2,621579
angkutprima_item_00098,angkutprima,angkutprima_ord_00049,angkutprima_prod_0024,3,147794
angkutprima_item_00099,angkutprima,angkutprima_ord_00050,angkutprima_prod_0017,1,2071929
angkutprima_item_00100,angkutprima,angkutprima_ord_00051,angkutprima_prod_0022,1,298073
angkutprima_item_00101,angkutprima,angkutprima_ord_00052,angkutprima_prod_0008,1,256683
angkutprima_item_00102,angkutprima,angkutprima_ord_00052,angkutprima_prod_0028,3,722033
angkutprima_item_00103,angkutprima,angkutprima_ord_00052,angkutprima_prod_0001,3,825724
angkutprima_item_00104,angkutprima,angkutprima_ord_00053,angkutprima_prod_0017,4,8287716
angkutprima_item_00105,angkutprima,angkutprima_ord_00053,angkutprima_prod_0004,4,9748600
angkutprima_item_00106,angkutprima,angkutprima_ord_00054,angkutprima_prod_0025,1,1591893
angkutprima_item_00107,angkutprima,angkutprima_ord_00054,angkutprima_prod_0027,3,12155442
angkutprima_item_00108,angkutprima,angkutprima_ord_00054,angkutprima_prod_0013,2,978862
angkutprima_item_00109,angkutprima,angkutprima_ord_00055,angkutprima_prod_0019,4,12636832
angkutprima_item_00110,angkutprima,angkutprima_ord_00055,angkutprima_prod_0030,4,7204548
angkutprima_item_00111,angkutprima,angkutprima_ord_00056,angkutprima_prod_0030,1,1801137
angkutprima_item_00112,angkutprima,angkutprima_ord_00056,angkutprima_prod_0007,2,7499416
angkutprima_item_00113,angkutprima,angkutprima_ord_00056,angkutprima_prod_0009,4,10552992
angkutprima_item_00114,angkutprima,angkutprima_ord_00057,angkutprima_prod_0027,1,607772
angkutprima_item_00115,angkutprima,angkutprima_ord_00058,angkutprima_prod_0010,3,1773198
angkutprima_item_00116,angkutprima,angkutprima_ord_00058,angkutprima_prod_0017,4,8287716
angkutprima_item_00117,angkutprima,angkutprima_ord_00058,angkutprima_prod_0030,3,5403411
angkutprima_item_00118,angkutprima,angkutprima_ord_00059,angkutprima_prod_0020,2,377373
angkutprima_item_00119,angkutprima,angkutprima_ord_00059,angkutprima_prod_0018,2,1209635
angkutprima_item_00120,angkutprima,angkutprima_ord_00060,angkutprima_prod_0014,4,103063
angkutprima_item_00121,angkutprima,angkutprima_ord_00060,angkutprima_prod_0007,2,1124912
angkutprima_item_00122,angkutprima,angkutprima_ord_00061,angkutprima_prod_0029,2,7746914
angkutprima_item_00123,angkutprima,angkutprima_ord_00062,angkutprima_prod_0010,1,591066
angkutprima_item_00124,angkutprima,angkutprima_ord_00062,angkutprima_prod_0022,3,894219
angkutprima_item_00125,angkutprima,angkutprima_ord_00063,angkutprima_prod_0005,2,4986710
angkutprima_item_00126,angkutprima,angkutprima_ord_00064,angkutprima_prod_0008,2,513366
angkutprima_item_00127,angkutprima,angkutprima_ord_00064,angkutprima_prod_0028,1,240678
angkutprima_item_00128,angkutprima,angkutprima_ord_00064,angkutprima_prod_0009,2,791474
angkutprima_item_00129,angkutprima,angkutprima_ord_00065,angkutprima_prod_0015,3,455976
angkutprima_item_00130,angkutprima,angkutprima_ord_00066,angkutprima_prod_0019,4,12636832
angkutprima_item_00131,angkutprima,angkutprima_ord_00067,angkutprima_prod_0010,3,1773198
angkutprima_item_00132,angkutprima,angkutprima_ord_00067,angkutprima_prod_0029,4,15493828
angkutprima_item_00133,angkutprima,angkutprima_ord_00067,angkutprima_prod_0017,1,2071929
angkutprima_item_00134,angkutprima,angkutprima_ord_00068,angkutprima_prod_0018,4,2419270
angkutprima_item_00135,angkutprima,angkutprima_ord_00069,angkutprima_prod_0025,3,716352
angkutprima_item_00136,angkutprima,angkutprima_ord_00069,angkutprima_prod_0017,1,310789
angkutprima_item_00137,angkutprima,angkutprima_ord_00069,angkutprima_prod_0014,4,103063
angkutprima_item_00138,angkutprima,angkutprima_ord_00070,angkutprima_prod_0027,1,4051814
angkutprima_item_00139,angkutprima,angkutprima_ord_00071,angkutprima_prod_0023,4,10380048
angkutprima_item_00140,angkutprima,angkutprima_ord_00071,angkutprima_prod_0013,2,978862
angkutprima_item_00141,angkutprima,angkutprima_ord_00072,angkutprima_prod_0023,4,10380048
angkutprima_item_00142,angkutprima,angkutprima_ord_00072,angkutprima_prod_0004,1,2437150
angkutprima_item_00143,angkutprima,angkutprima_ord_00072,angkutprima_prod_0011,4,2052008
angkutprima_item_00144,angkutprima,angkutprima_ord_00073,angkutprima_prod_0023,3,7785036
angkutprima_item_00145,angkutprima,angkutprima_ord_00074,angkutprima_prod_0009,2,5276496
angkutprima_item_00146,angkutprima,angkutprima_ord_00074,angkutprima_prod_0019,3,9477624
angkutprima_item_00147,angkutprima,angkutprima_ord_00075,angkutprima_prod_0008,2,3422440
angkutprima_item_00148,angkutprima,angkutprima_ord_00075,angkutprima_prod_0030,2,3602274
angkutprima_item_00149,angkutprima,angkutprima_ord_00075,angkutprima_prod_0010,2,1182132
angkutprima_item_00150,angkutprima,angkutprima_ord_00076,angkutprima_prod_0001,1,1834943
angkutprima_item_00151,angkutprima,angkutprima_ord_00076,angkutprima_prod_0004,3,7311450
angkutprima_item_00152,angkutprima,angkutprima_ord_00077,angkutprima_prod_0003,4,5019252
angkutprima_item_00153,angkutprima,angkutprima_ord_00078,angkutprima_prod_0003,4,5019252
angkutprima_item_00154,angkutprima,angkutprima_ord_00079,angkutprima_prod_0016,1,1155800
angkutprima_item_00155,angkutprima,angkutprima_ord_00080,angkutprima_prod_0026,2,7273332
angkutprima_item_00156,angkutprima,angkutprima_ord_00080,angkutprima_prod_0005,4,9973420
angkutprima_item_00157,angkutprima,angkutprima_ord_00080,angkutprima_prod_0001,3,5504829
angkutprima_item_00158,angkutprima,angkutprima_ord_00081,angkutprima_prod_0030,1,1801137
angkutprima_item_00159,angkutprima,angkutprima_ord_00082,angkutprima_prod_0016,4,4623200
angkutprima_item_00160,angkutprima,angkutprima_ord_00082,angkutprima_prod_0025,1,1591893
angkutprima_item_00161,angkutprima,angkutprima_ord_00083,angkutprima_prod_0012,1,2851515
angkutprima_item_00162,angkutprima,angkutprima_ord_00083,angkutprima_prod_0009,1,2638248
angkutprima_item_00163,angkutprima,angkutprima_ord_00084,angkutprima_prod_0016,4,4623200
angkutprima_item_00164,angkutprima,angkutprima_ord_00084,angkutprima_prod_0017,2,4143858
angkutprima_item_00165,angkutprima,angkutprima_ord_00085,angkutprima_prod_0030,4,7204548
angkutprima_item_00166,angkutprima,angkutprima_ord_00085,angkutprima_prod_0006,3,4869282
angkutprima_item_00167,angkutprima,angkutprima_ord_00086,angkutprima_prod_0012,4,11406060
angkutprima_item_00168,angkutprima,angkutprima_ord_00087,angkutprima_prod_0025,1,1591893
angkutprima_item_00169,angkutprima,angkutprima_ord_00088,angkutprima_prod_0007,2,7499416
angkutprima_item_00170,angkutprima,angkutprima_ord_00088,angkutprima_prod_0011,2,1026004
angkutprima_item_00171,angkutprima,angkutprima_ord_00088,angkutprima_prod_0015,2,303984
angkutprima_item_00172,angkutprima,angkutprima_ord_00089,angkutprima_prod_0006,4,6492376
angkutprima_item_00173,angkutprima,angkutprima_ord_00089,angkutprima_prod_0011,2,1026004
angkutprima_item_00174,angkutprima,angkutprima_ord_00090,angkutprima_prod_0022,3,894219
angkutprima_item_00175,angkutprima,angkutprima_ord_00090,angkutprima_prod_0010,1,591066
angkutprima_item_00176,angkutprima,angkutprima_ord_00091,angkutprima_prod_0014,3,77297
angkutprima_item_00177,angkutprima,angkutprima_ord_00091,angkutprima_prod_0008,3,770049
angkutprima_item_00178,angkutprima,angkutprima_ord_00091,angkutprima_prod_0015,2,45598
angkutprima_item_00179,angkutprima,angkutprima_ord_00092,angkutprima_prod_0001,3,5504829
angkutprima_item_00180,angkutprima,angkutprima_ord_00092,angkutprima_prod_0018,3,12096348
angkutprima_item_00181,angkutprima,angkutprima_ord_00093,angkutprima_prod_0010,2,177320
angkutprima_item_00182,angkutprima,angkutprima_ord_00093,angkutprima_prod_0007,2,1124912
angkutprima_item_00183,angkutprima,angkutprima_ord_00094,angkutprima_prod_0003,2,2509626
angkutprima_item_00184,angkutprima,angkutprima_ord_00094,angkutprima_prod_0016,2,2311600
angkutprima_item_00185,angkutprima,angkutprima_ord_00095,angkutprima_prod_0007,1,3749708
angkutprima_item_00186,angkutprima,angkutprima_ord_00096,angkutprima_prod_0027,1,4051814
angkutprima_item_00187,angkutprima,angkutprima_ord_00097,angkutprima_prod_0002,3,12667281
angkutprima_item_00188,angkutprima,angkutprima_ord_00098,angkutprima_prod_0002,2,1266728
angkutprima_item_00189,angkutprima,angkutprima_ord_00098,angkutprima_prod_0016,4,693480
angkutprima_item_00190,angkutprima,angkutprima_ord_00098,angkutprima_prod_0030,1,270171
angkutprima_item_00191,angkutprima,angkutprima_ord_00099,angkutprima_prod_0015,2,45598
angkutprima_item_00192,angkutprima,angkutprima_ord_00100,angkutprima_prod_0030,2,540341
angkutprima_item_00193,angkutprima,angkutprima_ord_00101,angkutprima_prod_0007,4,14998832
angkutprima_item_00194,angkutprima,angkutprima_ord_00102,angkutprima_prod_0007,2,7499416
angkutprima_item_00195,angkutprima,angkutprima_ord_00102,angkutprima_prod_0007,4,14998832
angkutprima_item_00196,angkutprima,angkutprima_ord_00102,angkutprima_prod_0009,4,10552992
angkutprima_item_00197,angkutprima,angkutprima_ord_00103,angkutprima_prod_0010,2,1182132
angkutprima_item_00198,angkutprima,angkutprima_ord_00103,angkutprima_prod_0007,4,14998832
angkutprima_item_00199,angkutprima,angkutprima_ord_00103,angkutprima_prod_0025,4,6367572
angkutprima_item_00200,angkutprima,angkutprima_ord_00104,angkutprima_prod_0015,1,22799
angkutprima_item_00201,angkutprima,angkutprima_ord_00104,angkutprima_prod_0014,4,103063
angkutprima_item_00202,angkutprima,angkutprima_ord_00105,angkutprima_prod_0013,2,978862
angkutprima_item_00203,angkutprima,angkutprima_ord_00106,angkutprima_prod_0006,3,730392
angkutprima_item_00204,angkutprima,angkutprima_ord_00106,angkutprima_prod_0027,2,1215544
angkutprima_item_00205,angkutprima,angkutprima_ord_00106,angkutprima_prod_0016,3,520110
angkutprima_item_00206,angkutprima,angkutprima_ord_00107,angkutprima_prod_0024,1,328430
angkutprima_item_00207,angkutprima,angkutprima_ord_00107,angkutprima_prod_0009,4,10552992
angkutprima_item_00208,angkutprima,angkutprima_ord_00108,angkutprima_prod_0028,1,1604518
angkutprima_item_00209,angkutprima,angkutprima_ord_00108,angkutprima_prod_0022,4,1192292
angkutprima_item_00210,angkutprima,angkutprima_ord_00108,angkutprima_prod_0028,4,6418072
angkutprima_item_00211,angkutprima,angkutprima_ord_00109,angkutprima_prod_0009,4,10552992
angkutprima_item_00212,angkutprima,angkutprima_ord_00109,angkutprima_prod_0011,3,1539006
angkutprima_item_00213,angkutprima,angkutprima_ord_00110,angkutprima_prod_0003,2,376444
angkutprima_item_00214,angkutprima,angkutprima_ord_00110,angkutprima_prod_0006,1,243464
angkutprima_item_00215,angkutprima,angkutprima_ord_00111,angkutprima_prod_0011,2,1026004
angkutprima_item_00216,angkutprima,angkutprima_ord_00112,angkutprima_prod_0015,3,68396
angkutprima_item_00217,angkutprima,angkutprima_ord_00113,angkutprima_prod_0010,1,88660
angkutprima_item_00218,angkutprima,angkutprima_ord_00114,angkutprima_prod_0010,2,1182132
angkutprima_item_00219,angkutprima,angkutprima_ord_00114,angkutprima_prod_0025,3,4775679
angkutprima_item_00220,angkutprima,angkutprima_ord_00115,angkutprima_prod_0014,2,343544
angkutprima_item_00221,angkutprima,angkutprima_ord_00115,angkutprima_prod_0014,2,343544
angkutprima_item_00222,angkutprima,angkutprima_ord_00115,angkutprima_prod_0012,2,5703030
angkutprima_item_00223,angkutprima,angkutprima_ord_00116,angkutprima_prod_0001,4,7339772
angkutprima_item_00224,angkutprima,angkutprima_ord_00117,angkutprima_prod_0010,1,591066
angkutprima_item_00225,angkutprima,angkutprima_ord_00118,angkutprima_prod_0011,2,1026004
angkutprima_item_00226,angkutprima,angkutprima_ord_00118,angkutprima_prod_0004,2,4874300
angkutprima_item_00227,angkutprima,angkutprima_ord_00119,angkutprima_prod_0013,1,489431
angkutprima_item_00228,angkutprima,angkutprima_ord_00119,angkutprima_prod_0018,4,16128464
angkutprima_item_00229,angkutprima,angkutprima_ord_00119,angkutprima_prod_0028,1,1604518
angkutprima_item_00230,angkutprima,angkutprima_ord_00120,angkutprima_prod_0022,4,1192292
angkutprima_item_00231,angkutprima,angkutprima_ord_00120,angkutprima_prod_0004,4,9748600
angkutprima_item_00232,angkutprima,angkutprima_ord_00121,angkutprima_prod_0016,2,2311600
angkutprima_item_00233,angkutprima,angkutprima_ord_00122,angkutprima_prod_0018,4,16128464
angkutprima_item_00234,angkutprima,angkutprima_ord_00122,angkutprima_prod_0005,4,9973420
angkutprima_item_00235,angkutprima,angkutprima_ord_00123,angkutprima_prod_0026,1,545500
angkutprima_item_00236,angkutprima,angkutprima_ord_00123,angkutprima_prod_0010,1,88660
angkutprima_item_00237,angkutprima,angkutprima_ord_00123,angkutprima_prod_0022,3,134133
angkutprima_item_00238,angkutprima,angkutprima_ord_00124,angkutprima_prod_0030,4,7204548
angkutprima_item_00239,angkutprima,angkutprima_ord_00124,angkutprima_prod_0021,4,15844872
angkutprima_item_00240,angkutprima,angkutprima_ord_00125,angkutprima_prod_0016,3,3467400
angkutprima_item_00241,angkutprima,angkutprima_ord_00126,angkutprima_prod_0020,2,2515818
angkutprima_item_00242,angkutprima,angkutprima_ord_00127,angkutprima_prod_0013,4,293659
angkutprima_item_00243,angkutprima,angkutprima_ord_00128,angkutprima_prod_0029,3,11620371
angkutprima_item_00244,angkutprima,angkutprima_ord_00128,angkutprima_prod_0028,4,6418072
angkutprima_item_00245,angkutprima,angkutprima_ord_00129,angkutprima_prod_0011,4,2052008
angkutprima_item_00246,angkutprima,angkutprima_ord_00129,angkutprima_prod_0006,4,6492376
angkutprima_item_00247,angkutprima,angkutprima_ord_00130,angkutprima_prod_0029,3,11620371
angkutprima_item_00248,angkutprima,angkutprima_ord_00130,angkutprima_prod_0027,1,4051814
angkutprima_item_00249,angkutprima,angkutprima_ord_00131,angkutprima_prod_0005,2,4986710
angkutprima_item_00250,angkutprima,angkutprima_ord_00131,angkutprima_prod_0004,4,9748600
angkutprima_item_00251,angkutprima,angkutprima_ord_00131,angkutprima_prod_0030,1,1801137
angkutprima_item_00252,angkutprima,angkutprima_ord_00132,angkutprima_prod_0016,2,2311600
angkutprima_item_00253,angkutprima,angkutprima_ord_00133,angkutprima_prod_0016,3,520110
angkutprima_item_00254,angkutprima,angkutprima_ord_00133,angkutprima_prod_0001,3,825724
angkutprima_item_00255,angkutprima,angkutprima_ord_00134,angkutprima_prod_0021,1,3961218
angkutprima_item_00256,angkutprima,angkutprima_ord_00135,angkutprima_prod_0023,3,7785036
angkutprima_item_00257,angkutprima,angkutprima_ord_00136,angkutprima_prod_0024,4,197058
angkutprima_item_00258,angkutprima,angkutprima_ord_00136,angkutprima_prod_0008,4,1026732
angkutprima_item_00259,angkutprima,angkutprima_ord_00136,angkutprima_prod_0025,2,477568
angkutprima_item_00260,angkutprima,angkutprima_ord_00137,angkutprima_prod_0029,3,1743056
angkutprima_item_00261,angkutprima,angkutprima_ord_00137,angkutprima_prod_0013,4,293659
angkutprima_item_00262,angkutprima,angkutprima_ord_00137,angkutprima_prod_0009,4,1582949
angkutprima_item_00263,angkutprima,angkutprima_ord_00138,angkutprima_prod_0004,2,4874300
angkutprima_item_00264,angkutprima,angkutprima_ord_00139,angkutprima_prod_0017,3,6215787
angkutprima_item_00265,angkutprima,angkutprima_ord_00139,angkutprima_prod_0022,2,596146
angkutprima_item_00266,angkutprima,angkutprima_ord_00139,angkutprima_prod_0020,1,1257909
angkutprima_item_00267,angkutprima,angkutprima_ord_00140,angkutprima_prod_0015,3,455976
angkutprima_item_00268,angkutprima,angkutprima_ord_00140,angkutprima_prod_0012,3,8554545
angkutprima_item_00269,angkutprima,angkutprima_ord_00141,angkutprima_prod_0022,2,596146
angkutprima_item_00270,angkutprima,angkutprima_ord_00141,angkutprima_prod_0030,3,5403411
angkutprima_item_00271,angkutprima,angkutprima_ord_00142,angkutprima_prod_0023,4,10380048
angkutprima_item_00272,angkutprima,angkutprima_ord_00142,angkutprima_prod_0009,4,10552992
angkutprima_item_00273,angkutprima,angkutprima_ord_00143,angkutprima_prod_0015,1,151992
angkutprima_item_00274,angkutprima,angkutprima_ord_00143,angkutprima_prod_0003,3,3764439
angkutprima_item_00275,angkutprima,angkutprima_ord_00144,angkutprima_prod_0016,2,2311600
angkutprima_item_00276,angkutprima,angkutprima_ord_00144,angkutprima_prod_0030,2,3602274
angkutprima_item_00277,angkutprima,angkutprima_ord_00144,angkutprima_prod_0002,3,12667281
angkutprima_item_00278,angkutprima,angkutprima_ord_00145,angkutprima_prod_0004,1,2437150
angkutprima_item_00279,angkutprima,angkutprima_ord_00146,angkutprima_prod_0027,1,607772
angkutprima_item_00280,angkutprima,angkutprima_ord_00146,angkutprima_prod_0022,2,89422
angkutprima_item_00281,angkutprima,angkutprima_ord_00146,angkutprima_prod_0014,3,77297
angkutprima_item_00282,angkutprima,angkutprima_ord_00147,angkutprima_prod_0029,3,1743056
angkutprima_item_00283,angkutprima,angkutprima_ord_00147,angkutprima_prod_0025,4,955136
angkutprima_item_00284,angkutprima,angkutprima_ord_00148,angkutprima_prod_0023,1,2595012
angkutprima_item_00285,angkutprima,angkutprima_ord_00149,angkutprima_prod_0001,1,1834943
angkutprima_item_00286,angkutprima,angkutprima_ord_00149,angkutprima_prod_0028,2,3209036
angkutprima_item_00287,angkutprima,angkutprima_ord_00149,angkutprima_prod_0012,4,11406060
angkutprima_item_00288,angkutprima,angkutprima_ord_00150,angkutprima_prod_0006,3,4869282
angkutprima_item_00289,angkutprima,angkutprima_ord_00150,angkutprima_prod_0026,2,7273332
angkutprima_item_00290,angkutprima,angkutprima_ord_00151,angkutprima_prod_0002,4,16889708
angkutprima_item_00291,angkutprima,angkutprima_ord_00151,angkutprima_prod_0024,1,328430
angkutprima_item_00292,angkutprima,angkutprima_ord_00151,angkutprima_prod_0019,4,12636832
angkutprima_item_00293,angkutprima,angkutprima_ord_00152,angkutprima_prod_0016,3,520110
angkutprima_item_00294,angkutprima,angkutprima_ord_00153,angkutprima_prod_0025,1,238784
angkutprima_item_00295,angkutprima,angkutprima_ord_00154,angkutprima_prod_0021,3,11883654
angkutprima_item_00296,angkutprima,angkutprima_ord_00155,angkutprima_prod_0025,2,3183786
angkutprima_item_00297,angkutprima,angkutprima_ord_00155,angkutprima_prod_0016,3,3467400
angkutprima_item_00298,angkutprima,angkutprima_ord_00155,angkutprima_prod_0003,4,5019252
